Road Temp Monitoring Program V1.0
회 사 명 : (주)레도
작성일자 : 2021년 07월 07일 14:43:18


날짜/시간 	 #1주변온도 	 #1물체온도 	 #2주변온도 	 #2물체온도 
2021-07-07 14:43:18:676	24	24.3	0	0
2021-07-07 14:43:18:676	24	64.2	0	0
2021-07-07 14:43:20:567	24	24.4	0	0
2021-07-07 14:43:21:582	24.1	64.3	0	0
2021-07-07 14:43:22:566	24	24.4	0	0
2021-07-07 14:43:23:582	24.1	64.3	0	0
2021-07-07 14:43:24:566	24	0.2	0	0
2021-07-07 14:43:25:581	24	64.3	0	0
2021-07-07 14:43:27:565	24.1	24.5	0	0
2021-07-07 14:43:27:581	24	6.4	0	0
2021-07-07 14:43:29:565	24.1	24.6	0	0
2021-07-07 14:43:30:596	24	64.3	0	0
2021-07-07 14:43:31:580	24.2	24.6	0	0
2021-07-07 14:43:32:595	24	64.3	0	0
2021-07-07 14:43:33:564	24.2	0.2	0	0
2021-07-07 14:43:34:595	24	64.3	0	0
2021-07-07 14:43:36:579	24.3	24.7	0	0
2021-07-07 14:43:36:594	24	0.6	0	0
2021-07-07 14:43:38:578	24.3	24.7	0	0
2021-07-07 14:43:39:593	24	64.5	0	0
2021-07-07 14:43:40:578	24.3	2.4	0	0
2021-07-07 14:43:41:593	24	64.6	0	0
2021-07-07 14:43:43:593	24.4	24.7	0	0
2021-07-07 14:43:43:593	24	6.4	0	0
2021-07-07 14:43:45:592	24.4	24.9	0	0
2021-07-07 14:43:46:607	24	64.7	0	0
2021-07-07 14:43:47:592	24.5	24.9	0	0
2021-07-07 14:43:48:607	24	64.8	0	0
2021-07-07 14:43:49:575	24.5	0.2	0	0
2021-07-07 14:43:50:606	24	64.9	0	0
2021-07-07 14:43:52:591	24.6	25	0	0
2021-07-07 14:43:52:606	24	0.6	0	0
2021-07-07 14:43:54:590	24.6	25	0	0
2021-07-07 14:43:55:621	24	65.1	0	0
2021-07-07 14:43:56:590	24.6	2.4	0	0
2021-07-07 14:43:57:620	24	65.2	0	0
2021-07-07 14:43:59:604	24.7	24.9	0	0
2021-07-07 14:43:59:620	24	6.5	0	0
2021-07-07 14:44:01:605	24.7	25	0	0
2021-07-07 14:44:02:620	24	65.3	0	0
2021-07-07 14:44:03:605	24.7	2.5	0	0
2021-07-07 14:44:04:620	24	65.3	0	0
2021-07-07 14:44:06:604	24.8	25.2	0	0
2021-07-07 14:44:06:619	24	6.5	0	0
2021-07-07 14:44:08:603	24.8	25.2	0	0
2021-07-07 14:44:09:634	24	65.5	0	0
2021-07-07 14:44:10:603	24.8	2.5	0	0
2021-07-07 14:44:11:634	24	65.6	0	0
2021-07-07 14:44:13:618	24.9	25.1	0	0
2021-07-07 14:44:13:634	24	6.5	0	0
2021-07-07 14:44:15:617	24.9	25.1	0	0
2021-07-07 14:44:16:633	24	65.7	0	0
2021-07-07 14:44:17:617	24.9	2.5	0	0
2021-07-07 14:44:18:632	24	65.8	0	0
2021-07-07 14:44:20:616	25	25.1	0	0
2021-07-07 14:44:20:632	24	6.5	0	0
2021-07-07 14:46:46:474	26.2	25.2	0	0
2021-07-07 14:47:05:012	26.3	25.1	0	0
2021-07-07 14:47:07:741	26.3	25.1	0	0
2021-07-07 15:36:05:964	26.5	2.4	0	0
2021-07-07 15:36:26:558	28.5	24	0	0
2021-07-07 15:36:36:614	26.5	24.9	0	0
2021-07-07 15:36:54:642	26.6	24.9	0	0
2021-07-07 15:36:54:644	26.6	25	0	0
2021-07-07 15:36:54:861	26.6	24.9	0	0
2021-07-07 15:36:54:875	24	6.6	0	0
2021-07-07 15:36:56:861	26.6	25	0	0
2021-07-07 15:36:57:880	24	67	0	0
2021-07-07 15:36:58:857	26.6	2.5	0	0
2021-07-07 15:36:58:873	29	24	0	0
2021-07-07 15:36:59:880	24	67	0	0
2021-07-07 15:37:01:868	26.6	24.9	0	0
2021-07-07 15:37:02:888	24	67	0	0
2021-07-07 15:37:03:864	26.6	24.9	0	0
2021-07-07 15:37:04:887	23.9	66.9	0	0
2021-07-07 15:37:05:867	26.6	0.2	0	0
2021-07-07 15:37:05:882	29	2.3	0	0
2021-07-07 15:37:06:876	26.6	24.9	0	0
2021-07-07 15:37:06:891	24	66.9	0	0
2021-07-07 15:37:08:872	26.6	24.9	0	0
2021-07-07 15:37:09:894	24	66.9	0	0
2021-07-07 15:37:10:875	26.7	2.5	0	0
2021-07-07 15:37:10:887	28.5	24	0	0
2021-07-07 15:37:11:895	24	66.9	0	0
2021-07-07 15:37:12:888	29	2.4	0	0
2021-07-07 15:37:13:878	26.7	25	0	0
2021-07-07 15:37:13:895	24	6.6	0	0
2021-07-07 15:37:15:882	26.7	25	0	0
2021-07-07 15:37:16:902	24	66.9	0	0
2021-07-07 15:37:17:881	26.7	2.5	0	0
2021-07-07 15:37:17:894	29	24	0	0
2021-07-07 15:37:18:901	24	66.9	0	0
2021-07-07 15:37:19:897	29.5	0.2	0	0
2021-07-07 15:37:20:888	26.7	25	0	0
2021-07-07 15:37:21:909	24	66.9	0	0
2021-07-07 15:37:22:884	26.7	25.1	0	0
2021-07-07 15:37:23:907	24	66.9	0	0
2021-07-07 15:37:24:886	26.7	0.2	0	0
2021-07-07 15:37:24:901	29.5	2.4	0	0
2021-07-07 15:37:25:893	26.6	25	0	0
