Road Temp Monitoring Program V1.0
회 사 명 : (주)레도
작성일자 : 2021년 04월 21일 11:23:55


날짜/시간 	 #1주변온도 	 #1물체온도 	 #2주변온도 	 #2물체온도 
2021-04-21 11:23:55:935	-235	-234.3	0	0
2021-04-21 11:23:56:904	-196.8	-195.5	0	0
2021-04-21 11:23:57:919	-158.7	-156.7	0	0
2021-04-21 11:23:58:919	-120.6	-117.9	0	0
2021-04-21 11:23:59:919	-82.4	-79.1	0	0
2021-04-21 11:24:00:919	-44.3	-40.5	0	0
2021-04-21 11:24:01:934	-6.1	-1.9	0	0
2021-04-21 11:24:02:934	31.9	36.7	0	0
2021-04-21 11:24:03:934	32	3.6	0	0
2021-04-21 11:24:04:934	32	36.6	0	0
2021-04-21 11:24:05:950	32	36.4	0	0
2021-04-21 11:24:06:950	32.1	36.3	0	0
2021-04-21 11:24:07:965	32.1	36.4	0	0
2021-04-21 11:24:08:949	32.2	36.5	0	0
2021-04-21 11:24:09:964	32.2	36.8	0	0
2021-04-21 11:24:10:964	32.3	36.8	0	0
2021-04-21 11:24:11:979	32.3	36.7	0	0
2021-04-21 11:24:12:964	32.4	36.7	0	0
2021-04-21 11:24:13:979	32.3	36.7	0	0
2021-04-21 11:24:14:979	32.1	36.7	0	0
2021-04-21 11:24:15:994	32.2	36.5	0	0
2021-04-21 11:24:16:994	32.2	36.4	0	0
2021-04-21 11:24:17:994	32.3	36.2	0	0
2021-04-21 11:24:19:056	32.4	36.1	0	0
2021-04-21 11:24:20:009	32.4	36.1	0	0
2021-04-21 11:24:21:009	32.5	36	0	0
2021-04-21 11:24:22:024	32.7	36.3	0	0
2021-04-21 11:24:23:024	33	36.6	0	0
2021-04-21 11:24:24:024	33.1	36.4	0	0
2021-04-21 11:24:25:029	33.2	36.2	0	0
2021-04-21 11:24:26:045	33.2	36	0	0
2021-04-21 11:24:28:044	33.3	35.7	0	0
2021-04-21 11:24:29:044	32.9	35.6	0	0
2021-04-21 11:24:30:060	33	35.1	0	0
2021-04-21 11:24:31:059	33	34.7	0	0
2021-04-21 11:24:32:059	33.1	35.2	0	0
2021-04-21 11:24:33:059	33.2	35.2	0	0
2021-04-21 11:24:34:074	33.2	35.2	0	0
2021-04-21 11:24:35:074	33.4	35.2	0	0
2021-04-21 11:24:36:089	33.4	35.1	0	0
2021-04-21 11:24:37:073	34.1	35.1	0	0
2021-04-21 11:24:38:089	34.3	35.2	0	0
2021-04-21 11:24:39:089	34.3	35.1	0	0
2021-04-21 11:24:40:104	34.4	34.5	0	0
2021-04-21 11:24:41:104	34.4	34.5	0	0
2021-04-21 11:24:42:104	34.5	34.5	0	0
2021-04-21 11:24:43:103	34.5	34.3	0	0
2021-04-21 11:24:44:119	34.6	34.3	0	0
2021-04-21 11:24:45:119	34.5	34.3	0	0
2021-04-21 11:24:46:134	34.5	34.3	0	0
2021-04-21 11:24:47:118	34.5	34.4	0	0
2021-04-21 11:24:48:134	34.6	34.5	0	0
2021-04-21 11:24:49:134	34.6	34.6	0	0
2021-04-21 11:24:50:149	34.7	34.7	0	0
2021-04-21 11:24:51:149	34.8	35	0	0
2021-04-21 11:24:52:149	34.8	35.1	0	0
2021-04-21 11:24:53:149	34.9	35.2	0	0
2021-04-21 11:24:54:164	35	35.2	0	0
2021-04-21 11:24:55:170	35.1	35.3	0	0
2021-04-21 11:24:56:170	35.2	35.4	0	0
2021-04-21 11:24:57:170	35.2	3.5	0	0
2021-04-21 11:24:58:185	35.2	35.5	0	0
2021-04-21 11:24:59:185	35.3	35.5	0	0
2021-04-21 11:25:00:185	35.3	35.5	0	0
2021-04-21 11:25:01:200	35.3	35.6	0	0
2021-04-21 11:25:02:200	35.3	35.5	0	0
2021-04-21 11:25:03:200	35.4	35.6	0	0
2021-04-21 11:25:04:215	35.4	35.6	0	0
2021-04-21 11:25:05:215	35.5	35.6	0	0
2021-04-21 11:25:06:215	35.5	35.6	0	0
2021-04-21 11:25:07:230	35.6	35.5	0	0
2021-04-21 11:25:08:215	35.6	35.5	0	0
2021-04-21 11:25:09:230	35.7	35.4	0	0
2021-04-21 11:25:10:245	35.7	35.1	0	0
2021-04-21 11:25:11:245	35.7	34.8	0	0
2021-04-21 11:25:12:260	36.1	34.6	0	0
2021-04-21 11:25:13:261	36.1	34.4	0	0
2021-04-21 11:25:14:260	36.2	34.1	0	0
2021-04-21 11:25:15:260	36.2	33.7	0	0
2021-04-21 11:25:16:260	36.2	33.2	0	0
2021-04-21 11:25:17:275	36.3	32.7	0	0
2021-04-21 11:25:18:291	36.3	32.4	0	0
2021-04-21 11:25:19:291	36.3	32	0	0
2021-04-21 11:25:20:290	36	31.8	0	0
2021-04-21 11:25:21:290	36.1	31.6	0	0
2021-04-21 11:25:22:306	36.1	31.4	0	0
2021-04-21 11:25:23:305	36.1	31.4	0	0
2021-04-21 11:25:24:321	36.2	31.5	0	0
2021-04-21 11:25:26:311	36.3	31.7	0	0
2021-04-21 11:25:27:326	36.3	31.9	0	0
2021-04-21 11:25:28:326	36.4	31.9	0	0
2021-04-21 11:25:29:342	36.4	32	0	0
2021-04-21 11:25:30:341	36.5	32.3	0	0
2021-04-21 11:25:31:341	36.5	3.2	0	0
2021-04-21 11:25:32:346	36.5	32.9	0	0
2021-04-21 11:25:33:361	36.6	33.1	0	0
2021-04-21 11:25:34:362	36.9	33.4	0	0
2021-04-21 11:25:35:377	36.9	33.8	0	0
2021-04-21 11:25:36:377	37	34.1	0	0
2021-04-21 11:25:37:362	37	34.4	0	0
2021-04-21 11:25:38:377	36.8	34.4	0	0
2021-04-21 11:25:39:377	36.8	34.5	0	0
2021-04-21 11:25:40:392	36.9	34.5	0	0
2021-04-21 11:25:41:392	36.9	34.7	0	0
2021-04-21 11:25:42:407	36.5	34.8	0	0
2021-04-21 11:25:43:407	36.5	0.3	0	0
2021-04-21 11:25:44:407	36.3	34.9	0	0
2021-04-21 11:25:45:423	36.3	34.9	0	0
2021-04-21 11:25:46:423	36.6	34.9	0	0
2021-04-21 11:25:47:438	36.6	34.9	0	0
2021-04-21 11:25:48:438	36.7	34.9	0	0
2021-04-21 11:25:50:438	36.9	34.8	0	0
2021-04-21 11:25:51:454	36.6	34.8	0	0
2021-04-21 11:25:52:454	36.6	34.8	0	0
2021-04-21 11:25:53:454	36.6	34.9	0	0
2021-04-21 11:25:54:468	36.3	34.9	0	0
2021-04-21 11:25:56:468	36.4	35.5	0	0
2021-04-21 11:25:57:483	36.4	35.5	0	0
2021-04-21 11:25:58:483	36.5	35.9	0	0
2021-04-21 11:25:59:499	36.9	35.8	0	0
2021-04-21 11:26:00:499	37.2	36.2	0	0
2021-04-21 11:26:01:514	37.3	36.5	0	0
2021-04-21 11:26:02:498	37.6	36.4	0	0
2021-04-21 11:26:03:498	37.6	36	0	0
2021-04-21 11:26:04:514	37.7	35.7	0	0
2021-04-21 11:26:05:513	37.7	35.7	0	0
2021-04-21 11:26:06:529	37.7	35.3	0	0
2021-04-21 11:26:07:528	37.4	35.4	0	0
2021-04-21 11:26:08:528	37.4	35.1	0	0
2021-04-21 11:26:09:544	37.4	34.7	0	0
2021-04-21 11:26:10:543	37.5	34.8	0	0
2021-04-21 11:26:11:559	37.5	34.8	0	0
2021-04-21 11:26:12:559	37.5	34.8	0	0
2021-04-21 11:26:13:562	37.5	34.7	0	0
2021-04-21 11:26:14:561	37.1	3.4	0	0
2021-04-21 11:26:15:562	37.5	34.6	0	0
2021-04-21 11:26:16:577	37.5	34.6	0	0
2021-04-21 11:26:17:577	37.5	34.6	0	0
2021-04-21 11:26:18:592	37.6	34.5	0	0
2021-04-21 11:26:19:592	37.6	34.5	0	0
2021-04-21 11:26:20:608	37.6	34.5	0	0
2021-04-21 11:26:21:608	37.6	35	0	0
2021-04-21 11:26:22:608	38.1	35	0	0
2021-04-21 11:26:23:608	38.1	35	0	0
2021-04-21 11:26:24:625	38.2	35	0	0
2021-04-21 11:26:25:625	37.7	35	0	0
2021-04-21 11:26:26:640	37.7	35.5	0	0
2021-04-21 11:26:27:624	37.4	3.5	0	0
2021-04-21 11:26:28:640	37.4	35.7	0	0
2021-04-21 11:26:29:640	37.5	35.7	0	0
2021-04-21 11:26:30:655	37.1	35.7	0	0
2021-04-21 11:26:31:655	37.1	35.7	0	0
2021-04-21 11:26:32:670	37.1	35.7	0	0
2021-04-21 11:26:33:686	37.6	36.1	0	0
2021-04-21 11:26:34:670	37.6	35.6	0	0
2021-04-21 11:26:35:685	38	35.4	0	0
2021-04-21 11:26:36:685	38	35.2	0	0
2021-04-21 11:26:37:700	38.1	34.7	0	0
2021-04-21 11:26:38:700	38.5	35.2	0	0
2021-04-21 11:26:39:700	38.5	35.2	0	0
2021-04-21 11:26:40:715	38	35.1	0	0
2021-04-21 11:26:41:715	38.1	34.6	0	0
2021-04-21 11:26:42:715	38.1	34.6	0	0
2021-04-21 11:26:43:730	38.1	34.8	0	0
2021-04-21 11:26:44:730	38.2	34.9	0	0
2021-04-21 11:26:45:745	38.1	34.9	0	0
2021-04-21 11:26:46:745	38.1	34.4	0	0
2021-04-21 11:26:47:761	38.1	34.9	0	0
2021-04-21 11:26:48:745	38.7	34.9	0	0
2021-04-21 11:26:49:760	38.1	34.9	0	0
2021-04-21 11:26:50:760	38.1	34.9	0	0
2021-04-21 11:26:51:775	38.1	34.9	0	0
2021-04-21 11:26:52:775	37.6	34.8	0	0
2021-04-21 11:26:53:790	37.6	34.8	0	0
2021-04-21 11:26:55:781	37.6	34.2	0	0
2021-04-21 11:26:56:797	37.7	34.8	0	0
2021-04-21 11:26:57:797	38.3	35.5	0	0
2021-04-21 11:26:58:812	38.3	35.5	0	0
2021-04-21 11:26:59:812	38.3	35.5	0	0
2021-04-21 11:27:00:827	38.9	35.5	0	0
2021-04-21 11:27:01:827	38.9	35.5	0	0
2021-04-21 11:27:02:827	38.3	35.5	0	0
2021-04-21 11:27:03:827	38.3	36.1	0	0
2021-04-21 11:27:04:842	38.3	35.6	0	0
2021-04-21 11:27:05:842	37.8	35.1	0	0
2021-04-21 11:27:06:857	37.3	35.1	0	0
2021-04-21 11:27:07:857	37.3	35.1	0	0
2021-04-21 11:27:08:873	36.7	35	0	0
2021-04-21 11:27:09:857	36.7	35	0	0
2021-04-21 11:27:10:872	37.3	35	0	0
2021-04-21 11:27:11:872	37.4	34.4	0	0
2021-04-21 11:27:12:887	37.4	34.5	0	0
2021-04-21 11:27:13:887	37.9	34.4	0	0
2021-04-21 11:27:14:903	38.5	34.5	0	0
2021-04-21 11:27:15:905	38.5	34.5	0	0
2021-04-21 11:27:16:905	39.1	34.6	0	0
2021-04-21 11:27:17:905	39.1	34.6	0	0
2021-04-21 11:27:18:920	39.1	34.7	0	0
2021-04-21 11:27:19:920	39.1	34.6	0	0
2021-04-21 11:27:20:936	39.2	34.6	0	0
2021-04-21 11:29:52:793	40.7	35	0	0
2021-04-21 11:29:53:793	40.7	35	0	0
2021-04-21 11:29:54:800	40.7	35	0	0
2021-04-21 11:29:55:800	40.7	35	0	0
2021-04-21 11:29:56:816	40.7	35	0	0
2021-04-21 11:29:57:831	40.7	35	0	0
2021-04-21 11:29:58:831	40.8	35.1	0	0
2021-04-21 11:29:59:830	40.8	35.2	0	0
2021-04-21 11:30:00:830	40.6	35.1	0	0
2021-04-21 11:30:01:846	40.7	35.1	0	0
2021-04-21 11:30:02:845	40.7	35	0	0
2021-04-21 11:30:03:861	40.6	35	0	0
