Magnetic Sensor Monitoring Program V1.0
회 사 명 : (주)래도
작성일자 : 2025년 11월 02일 13:30:57


날짜 	시간 	X축 	Y축 	Z축 	방위 	분당교통량(min/count) 	차량속도(km/h) 	rel 	abs_rel 	threshold_t 	state	X축 	Y축 	Z축 	방위 	분당교통량(min / count) 	차량속도(km / h) 	rel 	abs_rel 	threshold_t 	state	최종 분당교통량(min / count) 	최종 차량속도(km / h)
2025-11-02	13:30:57[883]	515	1218	32512	67.0801773388838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-02	13:30:57[907]	515	1217	32512	67.0632921874358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-02	13:30:57[985]	515	1217	32512	67.0632921874358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-02	13:30:58[081]	515	1217	32512	67.0632921874358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-02	13:32:32[152]	-80	-48	-221	210.963756532074	0	0	-464	464	30	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-02	13:39:00[825]	-59	-82	-222	234.264523985133	3	0	-465	465	32	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-02	13:39:09[906]	-81	-83	-236	225.698694382983	4	0	-479	479	35	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-02	13:39:42[190]	-98	-62	-229	212.31961650818	4	0	-472	472	35	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-02	13:39:56[741]	61	-123	-202	296.378420633512	3	0	-445	445	32	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-02	13:40:03[796]	76	-126	-206	301.097312885779	3	0	-449	449	32	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-02	13:40:50[440]	-83	-89	-231	226.997879856477	2	0	-474	474	32	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-02	13:41:03[381]	-83	-89	-231	226.997879856477	2	0	-474	474	32	0	138	102	-152	36.4692343900519	0	0	-370	370	30	0	0	0
2025-11-02	13:41:05[987]	-74	-97	-225	232.660475334466	1	0	-468	468	32	0	138	102	-152	36.4692343900519	0	0	-370	370	30	0	0	0
2025-11-02	13:41:10[222]	-80	-112	-219	234.462322208026	2	0	-462	462	32	0	138	102	-152	36.4692343900519	0	0	-370	370	30	0	0	0
2025-11-02	13:41:30[350]	-84	-92	-229	227.6025622025	3	0	-472	472	32	0	138	102	-152	36.4692343900519	0	0	-370	370	30	0	0	0
2025-11-02	13:41:56[854]	-44	-17	-257	201.124719146072	3	0	-500	500	38	0	138	102	-152	36.4692343900519	0	0	-370	370	30	0	0	0
2025-11-02	13:42:08[788]	-213	-35	-145	189.331410525294	3	0	-388	388	35	0	138	102	-152	36.4692343900519	0	0	-370	370	30	0	0	0
2025-11-02	13:42:10[741]	-74	-29	-242	201.399810132082	4	0	-485	485	39	0	138	102	-152	36.4692343900519	0	0	-370	370	30	0	0	0
2025-11-02	13:42:16[034]	-51	-96	-225	242.02052561152	4	0	-468	468	39	0	138	102	-152	36.4692343900519	0	0	-370	370	30	0	0	0
