Magnetic Sensor Monitoring Program V1.0
회 사 명 : (주)래도
작성일자 : 2025년 08월 12일 15:24:51


날짜 	시간 	X축 	Y축 	Z축 	방위 	분당교통량(min/count) 	차량속도(km/h)
2025-08-12	15:24:57[622]	5632	-26368	-22784	282.056762533833	512	0
2025-08-12	15:24:57[719]	6144	-28416	-22528	282.200468727381	1024	0
2025-08-12	15:24:57[815]	6144	-26880	-22016	282.875001559612	1024	0
2025-08-12	15:24:57[911]	6144	-28416	-22016	282.200468727381	1024	0
2025-08-12	15:24:58[007]	7168	-27904	-23552	284.406685156437	1024	0
2025-08-12	15:24:58[116]	6656	-27648	-22784	283.535856369134	1024	0
2025-08-12	15:24:58[211]	5376	-25856	-22272	281.745633425288	1024	0
2025-08-12	15:24:58[307]	6144	-27904	-21760	282.417445790076	1024	0
2025-08-12	15:24:58[404]	5888	-29184	-23296	281.406552583972	1024	0
2025-08-12	15:24:58[508]	6656	-27136	-23040	283.781597235654	1024	0
2025-08-12	15:24:58[603]	7424	-28928	-22016	284.393592968491	1024	0
2025-08-12	15:24:58[706]	6656	-27904	-22272	283.416183481841	1024	0
2025-08-12	15:24:58[801]	6144	-28416	-22784	282.200468727381	1024	0
2025-08-12	15:24:58[897]	5632	-27904	-22016	281.410983126765	1024	0
2025-08-12	15:24:58[993]	5376	-28160	-22016	280.80823094032	1024	0
2025-08-12	15:24:59[088]	6144	-26112	-22272	283.240519915187	1024	0
2025-08-12	15:24:59[185]	6144	-28416	-23040	282.200468727381	1024	0
2025-08-12	15:24:59[294]	6656	-28928	-21760	282.957580094093	1024	0
2025-08-12	15:24:59[392]	6656	-28160	-21248	283.298570330494	1024	0
2025-08-12	15:24:59[487]	6144	-27136	-22272	282.757532160877	1024	0
2025-08-12	15:24:59[583]	5376	-27136	-22272	281.205947507403	1024	0
2025-08-12	15:24:59[681]	7168	-27648	-22528	284.53445508054	1024	0
2025-08-12	15:24:59[776]	5120	-26368	-22016	280.988651096494	1024	0
2025-08-12	15:24:59[881]	6656	-26624	-22016	284.036243467926	1024	0
2025-08-12	15:24:59[978]	5376	-28160	-21248	280.80823094032	1024	0
2025-08-12	15:25:00[078]	6656	-28672	-21504	283.069317896282	1024	0
2025-08-12	15:25:00[175]	6400	-28672	-21760	282.582962494077	1024	0
2025-08-12	15:25:00[270]	6144	-28928	-20992	281.990834979039	1024	0
2025-08-12	15:25:00[367]	6144	-28416	-22272	282.200468727381	1024	0
2025-08-12	15:25:00[462]	7936	-27904	-20480	285.875946505223	1024	0
2025-08-12	15:25:00[559]	6912	-27392	-21504	284.162168055313	1024	0
2025-08-12	15:25:00[655]	6144	-27136	-22016	282.757532160877	1024	0
2025-08-12	15:25:00[754]	5376	-26880	-23808	281.30993247402	1024	0
2025-08-12	15:25:00[863]	6400	-28416	-22528	282.692665545118	1024	0
2025-08-12	15:25:00[959]	5376	-27136	-20992	281.205947507403	1024	0
2025-08-12	15:25:01[057]	6144	-27136	-21248	282.757532160877	1024	0
2025-08-12	15:25:01[150]	6144	-27392	-21760	282.64215232789	1024	0
2025-08-12	15:25:01[256]	6656	-27648	-23296	283.535856369134	1024	0
2025-08-12	15:25:01[352]	5888	-26624	-22784	282.470461721669	1024	0
2025-08-12	15:25:01[448]	5632	-27648	-22016	281.513831184487	1024	0
2025-08-12	15:25:01[544]	6144	-27136	-22784	282.757532160877	1024	0
2025-08-12	15:25:01[640]	4608	-27392	-21760	279.549133928736	1024	0
2025-08-12	15:25:01[738]	6912	-26880	-22528	284.420773127511	1024	0
2025-08-12	15:25:01[833]	5888	-27136	-20736	282.242331198874	1024	0
2025-08-12	15:25:01[944]	7424	-27136	-21248	285.30084557245	1024	0
2025-08-12	15:25:02[043]	6912	-28928	-23296	283.438188158351	1024	0
2025-08-12	15:25:02[136]	6912	-26624	-24320	284.553572790713	1024	0
2025-08-12	15:25:02[241]	6656	-26368	-23040	284.167055522631	1024	0
2025-08-12	15:25:02[334]	5888	-27904	-21504	281.915147071265	1024	0
2025-08-12	15:25:02[430]	5888	-27648	-21760	282.022276686184	1024	0
2025-08-12	15:25:02[525]	5376	-27648	-23040	281.00354085175	1024	0
2025-08-12	15:25:02[665]	6656	-27904	-21760	283.416183481841	1024	0
2025-08-12	15:25:02[725]	5376	-26624	-22784	281.415839524407	1024	0
2025-08-12	15:25:02[820]	6400	-26368	-22528	283.64291477599	1024	0
2025-08-12	15:25:02[917]	5888	-27904	-23296	281.915147071265	1024	0
2025-08-12	15:25:03[013]	6912	-28416	-22272	283.671307132196	1024	0
2025-08-12	15:25:03[110]	5632	-27904	-23040	281.410983126765	1024	0
2025-08-12	15:25:03[226]	6656	-27904	-22528	283.416183481841	1024	0
2025-08-12	15:25:03[314]	6144	-27904	-22784	282.417445790076	1024	0
2025-08-12	15:25:03[412]	6144	-27904	-22528	282.417445790076	1024	0
2025-08-12	15:25:03[506]	6400	-27392	-22784	283.150948680945	1024	0
2025-08-12	15:25:03[602]	5632	-28160	-21248	281.30993247402	1024	0
2025-08-12	15:25:03[698]	6144	-27904	-22784	282.417445790076	1024	0
2025-08-12	15:25:03[793]	8448	-27392	-22784	287.140349304758	1024	0
2025-08-12	15:25:03[909]	5120	-27648	-22016	280.491477012332	1024	0
2025-08-12	15:25:04[005]	7424	-28672	-22272	284.516699958855	1024	0
2025-08-12	15:25:04[098]	7424	-27136	-22016	285.30084557245	1024	0
2025-08-12	15:25:04[195]	5888	-28160	-22784	281.809882957028	1024	0
2025-08-12	15:25:04[293]	3840	-29184	-24576	277.49585763973	1024	0
2025-08-12	15:25:04[386]	5376	-27648	-21504	281.00354085175	1024	0
2025-08-12	15:25:04[519]	6656	-26112	-21248	284.300277449186	1024	0
2025-08-12	15:25:04[590]	5888	-26624	-21760	282.470461721669	1024	0
2025-08-12	15:25:04[685]	5632	-27392	-22784	281.618524352795	1024	0
2025-08-12	15:25:04[781]	6144	-27648	-23040	282.528807709152	1024	0
2025-08-12	15:25:04[877]	7936	-27904	-22016	285.875946505223	1024	0
2025-08-12	15:25:04[973]	6144	-28928	-22528	281.990834979039	1024	0
2025-08-12	15:25:05[082]	6656	-29184	-23040	282.847704858718	1024	0
2025-08-12	15:25:05[178]	6400	-26880	-22784	283.392497753751	1024	0
2025-08-12	15:25:05[275]	7680	-27136	-22528	285.802513953936	1024	0
2025-08-12	15:25:05[370]	5376	-26624	-21760	281.415839524407	1024	0
2025-08-12	15:25:05[475]	6656	-28160	-21760	283.298570330494	1024	0
2025-08-12	15:25:05[570]	5376	-26368	-23040	281.523721703897	1024	0
2025-08-12	15:25:05[668]	5632	-28160	-21760	281.30993247402	1024	0
2025-08-12	15:25:05[762]	5120	-27904	-23296	280.397333522436	1024	0
2025-08-12	15:25:05[867]	6656	-29184	-22016	282.847704858718	1024	0
2025-08-12	15:25:05[965]	6656	-27648	-21760	283.535856369134	1024	0
2025-08-12	15:25:06[061]	7168	-27136	-23296	284.796762245057	1024	0
2025-08-12	15:25:06[159]	5888	-27648	-22272	282.022276686184	1024	0
2025-08-12	15:25:06[254]	6400	-26112	-22272	283.771599717082	1024	0
2025-08-12	15:25:06[371]	6656	-27904	-22016	283.416183481841	1024	0
2025-08-12	15:25:06[455]	5888	-27648	-22528	282.022276686184	1024	0
2025-08-12	15:25:06[553]	5376	-27904	-23552	280.905022045234	1024	0
2025-08-12	15:25:06[646]	5376	-27648	-21504	281.00354085175	1024	0
2025-08-12	15:25:06[742]	5888	-28672	-22272	281.604762356379	1024	0
2025-08-12	15:25:06[840]	5632	-28160	-23552	281.30993247402	1024	0
