Magnetic Sensor Monitoring Program V1.0
회 사 명 : (주)래도
작성일자 : 2025년 06월 24일 16:46:40


날짜 	시간 	X축 	Y축 	Z축 	방위 
2025-06-24	16:46:43[007]	437	-13	-701	358.296051416972
2025-06-24	16:46:43[043]	200	52	-787	14.5742161980387
2025-06-24	16:46:43[074]	-1	93	-731	90.6160599083992
2025-06-24	16:46:43[100]	-114	98	-580	139.316027519866
2025-06-24	16:46:43[133]	-193	107	-442	150.995832313523
2025-06-24	16:46:43[147]	-236	107	-272	155.610943745913
2025-06-24	16:46:43[180]	-237	94	-109	158.365511467515
2025-06-24	16:46:43[213]	-195	56	39	163.977020152572
2025-06-24	16:46:43[247]	-95	7	114	175.785821477266
2025-06-24	16:46:43[280]	-34	-16	143	205.201123645475
2025-06-24	16:46:43[310]	6	-33	132	280.304846468766
2025-06-24	16:46:43[348]	27	-45	118	300.963756532073
2025-06-24	16:46:43[361]	44	-57	116	307.665621198583
2025-06-24	16:46:43[395]	52	-54	106	313.919075813339
2025-06-24	16:46:43[418]	66	-53	99	321.234480095541
2025-06-24	16:46:43[452]	63	-56	101	318.36646066343
2025-06-24	16:46:43[485]	66	-60	96	317.726310993906
2025-06-24	16:46:43[519]	62	-57	97	317.405970516645
2025-06-24	16:46:43[539]	60	-61	89	314.526491941265
2025-06-24	16:46:43[572]	55	-56	86	314.483835770235
2025-06-24	16:46:43[595]	60	-58	89	315.971021931079
2025-06-24	16:46:43[629]	48	-57	92	310.100907546212
2025-06-24	16:46:43[652]	52	-49	91	316.701354605326
2025-06-24	16:46:43[682]	44	-48	90	312.510447078001
2025-06-24	16:46:43[712]	20	-41	91	296.003345844511
2025-06-24	16:46:43[743]	6	-46	83	277.431407971173
2025-06-24	16:46:43[779]	-27	-29	69	227.045408488887
2025-06-24	16:46:43[809]	-57	-10	31	189.950626687952
2025-06-24	16:46:43[826]	-71	1	-26	179.193070544898
2025-06-24	16:46:43[859]	-66	3	-81	177.3974377975
