Road Temp Monitoring Program V1.0
회 사 명 : (주)레도
작성일자 : 2021년 04월 14일 16:06:29


날짜/시간 	 #1주변온도 	 #1물체온도 	 #2주변온도 	 #2물체온도 
2021-04-14 16:06:29:587	22.2	26.3	0	0
2021-04-14 16:06:30:212	22.3	26	0	0
2021-04-14 16:06:31:227	22	26	0	0
2021-04-14 16:06:32:212	22.3	25.8	0	0
2021-04-14 16:06:33:211	22.4	25.6	0	0
2021-04-14 16:06:34:227	22.4	25.4	0	0
2021-04-14 16:06:35:227	22	25.1	0	0
2021-04-14 16:06:36:226	22.1	24.9	0	0
2021-04-14 16:06:38:226	22.2	24.7	0	0
2021-04-14 16:06:39:226	22.5	24.7	0	0
2021-04-14 16:06:41:225	22.5	24.9	0	0
2021-04-14 16:06:42:241	22.6	24.9	0	0
2021-04-14 16:06:43:240	23	2.4	0	0
2021-04-14 16:06:44:240	23.1	24.8	0	0
2021-04-14 16:06:45:255	23.1	24.6	0	0
2021-04-14 16:06:46:240	23.1	2.4	0	0
2021-04-14 16:06:47:255	23.1	24.2	0	0
2021-04-14 16:06:48:255	23.1	24.6	0	0
2021-04-14 16:06:49:255	23.2	2.4	0	0
2021-04-14 16:06:50:254	23.1	24.1	0	0
2021-04-14 16:06:51:270	23.1	23.9	0	0
2021-04-14 16:06:53:269	23.1	23.6	0	0
2021-04-14 16:06:54:269	23.1	23.5	0	0
2021-04-14 16:06:55:269	23	2.3	0	0
2021-04-14 16:06:56:269	23	22.6	0	0
2021-04-14 16:06:57:284	23	22.6	0	0
2021-04-14 16:06:58:268	22.9	22.5	0	0
2021-04-14 16:06:59:284	22.9	22.6	0	0
2021-04-14 16:07:00:284	22.9	22.6	0	0
2021-04-14 16:07:01:283	22.9	22.6	0	0
2021-04-14 16:07:02:283	22.9	22.6	0	0
2021-04-14 16:07:03:299	22.9	22.7	0	0
2021-04-14 16:07:04:283	22.9	22.7	0	0
2021-04-14 16:07:05:298	22.9	22.8	0	0
2021-04-14 16:07:06:298	22.9	23	0	0
2021-04-14 16:07:07:298	22.9	23.7	0	0
2021-04-14 16:07:08:298	23	23.9	0	0
2021-04-14 16:07:09:313	23	24.7	0	0
2021-04-14 16:07:10:297	23	25.3	0	0
2021-04-14 16:07:11:312	23	26	0	0
2021-04-14 16:07:12:312	23.1	26.2	0	0
2021-04-14 16:07:13:312	23.1	26.3	0	0
2021-04-14 16:07:14:312	23.1	26.8	0	0
2021-04-14 16:07:15:327	23.2	26.2	0	0
2021-04-14 16:07:16:311	23.2	26	0	0
2021-04-14 16:07:17:327	23.2	25.3	0	0
2021-04-14 16:07:18:326	23.2	24.7	0	0
2021-04-14 16:07:19:326	23.3	24.2	0	0
2021-04-14 16:07:20:326	23.3	24.1	0	0
2021-04-14 16:07:21:342	23.3	24.2	0	0
2021-04-14 16:07:22:326	23.3	23.8	0	0
2021-04-14 16:07:23:341	23.3	24.1	0	0
2021-04-14 16:07:24:341	23.4	24.4	0	0
2021-04-14 16:07:25:341	23.4	25.1	0	0
2021-04-14 16:07:26:341	23	25.3	0	0
2021-04-14 16:07:27:356	22.5	25.3	0	0
2021-04-14 16:07:28:340	22.6	25.2	0	0
2021-04-14 16:07:29:356	22.6	25	0	0
2021-04-14 16:07:30:355	22.6	24.6	0	0
2021-04-14 16:07:31:355	22.6	24.4	0	0
2021-04-14 16:07:32:355	22.7	24.3	0	0
2021-04-14 16:07:33:371	22.7	23.6	0	0
2021-04-14 16:07:34:355	23.1	23.4	0	0
2021-04-14 16:07:35:370	23.6	23.5	0	0
2021-04-14 16:07:36:370	23.6	23.6	0	0
2021-04-14 16:07:37:370	23.6	23.8	0	0
2021-04-14 16:07:38:369	23.6	24	0	0
2021-04-14 16:07:39:385	23.6	24.1	0	0
2021-04-14 16:07:40:369	23.7	0.2	0	0
2021-04-14 16:07:41:385	24.2	23.9	0	0
2021-04-14 16:07:42:385	24.2	24	0	0
2021-04-14 16:07:44:384	24.4	24.2	0	0
2021-04-14 16:07:45:400	24.5	24.1	0	0
2021-04-14 16:07:46:399	24.5	24.3	0	0
2021-04-14 16:07:47:399	24.5	24.4	0	0
2021-04-14 16:07:48:399	24.6	24.5	0	0
2021-04-14 16:07:49:414	24	24.5	0	0
2021-04-14 16:07:50:398	24.1	24.5	0	0
2021-04-14 16:07:51:414	24.1	24.5	0	0
2021-04-14 16:07:52:414	24	24.5	0	0
2021-04-14 16:07:53:413	24	24.6	0	0
2021-04-14 16:07:54:413	24.2	24.6	0	0
2021-04-14 16:07:55:429	24.2	24.6	0	0
2021-04-14 16:07:56:413	24.2	24.6	0	0
2021-04-14 16:07:57:428	24.2	24.7	0	0
2021-04-14 16:07:58:428	24.3	24.8	0	0
2021-04-14 16:07:59:428	24.3	24.8	0	0
2021-04-14 16:08:00:428	24.3	24.8	0	0
2021-04-14 16:08:01:443	24.4	24.7	0	0
2021-04-14 16:08:02:427	24.3	24.6	0	0
2021-04-14 16:08:03:443	24.3	24.7	0	0
2021-04-14 16:08:04:442	24.4	24.7	0	0
2021-04-14 16:08:05:442	24.5	24.7	0	0
2021-04-14 16:08:06:442	24.5	24.5	0	0
2021-04-14 16:08:07:457	24.5	24.5	0	0
2021-04-14 16:08:08:441	24.6	24.4	0	0
2021-04-14 16:08:09:457	24.6	24.4	0	0
2021-04-14 16:08:10:456	24.6	24.3	0	0
2021-04-14 16:08:11:456	24.6	24.1	0	0
2021-04-14 16:08:12:456	24.5	23.8	0	0
2021-04-14 16:08:13:472	24.4	23.1	0	0
2021-04-14 16:08:15:471	24.7	22.7	0	0
2021-04-14 16:08:16:471	24.7	22.7	0	0
2021-04-14 16:08:17:487	24.7	22.6	0	0
2021-04-14 16:08:18:471	24.7	22.6	0	0
2021-04-14 16:08:19:486	24.7	22.5	0	0
2021-04-14 16:08:20:486	24.6	22.5	0	0
2021-04-14 16:08:21:486	25	22.9	0	0
2021-04-14 16:08:22:486	24.7	22.9	0	0
2021-04-14 16:08:23:501	24.7	22.7	0	0
2021-04-14 16:08:24:485	24.7	22.3	0	0
2021-04-14 16:08:25:501	24.6	21.8	0	0
2021-04-14 16:08:26:501	24.6	21.5	0	0
2021-04-14 16:08:27:500	24.6	21	0	0
2021-04-14 16:08:28:500	24.6	20.8	0	0
2021-04-14 16:08:29:515	24.3	20.4	0	0
2021-04-14 16:08:30:500	24.3	20.6	0	0
2021-04-14 16:08:31:515	24.3	20.8	0	0
2021-04-14 16:08:32:515	24.3	21.1	0	0
2021-04-14 16:08:33:515	24.8	21.6	0	0
2021-04-14 16:08:34:514	24.8	21.9	0	0
2021-04-14 16:08:35:530	24.8	22.4	0	0
2021-04-14 16:08:36:530	24.8	22.6	0	0
2021-04-14 16:08:37:530	24.8	22.6	0	0
2021-04-14 16:08:38:529	24.8	22.6	0	0
2021-04-14 16:08:39:545	24.9	22.6	0	0
2021-04-14 16:08:40:529	24.9	22.1	0	0
2021-04-14 16:08:41:544	24.3	22.3	0	0
2021-04-14 16:08:42:544	24.4	22.4	0	0
2021-04-14 16:08:43:544	24.4	22.5	0	0
2021-04-14 16:08:44:544	24.4	22.6	0	0
2021-04-14 16:08:45:559	24.4	23.2	0	0
2021-04-14 16:08:46:543	24.4	22.7	0	0
2021-04-14 16:08:47:558	24.5	22.7	0	0
2021-04-14 16:08:48:574	24.5	23.2	0	0
2021-04-14 16:08:49:558	24.5	22.5	0	0
2021-04-14 16:08:50:573	24.5	22.5	0	0
2021-04-14 16:08:51:573	24.5	22	0	0
