Road Temp Monitoring Program V1.0
회 사 명 : (주)레도
작성일자 : 2021년 07월 27일 22:48:13


날짜/시간 	 #1대기온도 	 #1대기습도 	 #1물체온도
2021-07-27 22:48:13:029	23.1	52.3	6465.6
2021-07-27 22:48:14:028	23.1	52.2	6502.6
2021-07-27 22:48:15:028	23.1	52.2	6539.6
2021-07-27 22:48:16:028	23	52.1	22.9
2021-07-27 22:48:17:028	23	52.1	22.9
2021-07-27 22:48:18:027	23	52.1	22.9
2021-07-27 22:48:19:027	23	52.1	22.9
2021-07-27 22:48:20:027	23.1	52	22.9
2021-07-27 22:48:21:027	23.1	52	22.9
2021-07-27 22:48:22:026	23	51.9	22.9
2021-07-27 22:48:23:026	23	51.9	22.9
2021-07-27 22:48:24:026	23	51.9	22.9
2021-07-27 22:48:25:026	23	51.9	22.9
2021-07-27 22:48:26:026	23	51.8	22.9
2021-07-27 22:48:27:025	23	51.8	22.9
2021-07-27 22:48:28:025	23	51.8	22.9
2021-07-27 22:48:29:025	23	51.8	22.9
2021-07-27 22:48:30:025	23	51.8	22.9
2021-07-27 22:48:31:024	23	51.8	22.9
2021-07-27 22:48:32:024	23	51.8	22.9
2021-07-27 22:48:33:024	23	51.8	22.9
2021-07-27 22:48:34:024	23	51.7	22.9
2021-07-27 22:48:35:023	23	51.7	22.9
2021-07-27 22:48:36:023	22.9	51.7	22.9
2021-07-27 22:48:37:023	22.9	51.7	22.9
2021-07-27 22:48:38:023	23	51.7	22.8
2021-07-27 22:48:39:016	23	51.7	22.8
2021-07-27 22:48:40:031	22.9	51.6	22.8
2021-07-27 22:48:41:021	22.9	51.6	22.8
2021-07-27 22:48:42:021	22.9	51.6	22.8
2021-07-27 22:48:43:028	22.9	51.6	22.8
2021-07-27 22:48:44:028	22.9	51.5	22.7
2021-07-27 22:48:45:028	22.9	51.5	22.7
2021-07-27 22:48:46:028	22.9	51.4	22.7
2021-07-27 22:48:47:402	22.9	51.4	22.8
2021-07-27 22:48:48:027	22.9	51.3	22.8
2021-07-27 22:48:49:027	22.9	51.3	22.8
2021-07-27 22:48:50:027	22.9	51.2	22.8
2021-07-27 22:48:51:027	22.9	51.2	22.8
2021-07-27 22:48:52:026	22.8	51.1	22.8
2021-07-27 22:48:53:026	22.8	51.1	22.8
2021-07-27 22:48:54:026	22.8	51.1	22.8
2021-07-27 22:48:55:026	22.8	51.1	22.8
2021-07-27 22:48:56:025	22.8	51	22.8
2021-07-27 22:48:57:025	22.8	51	22.9
2021-07-27 22:48:58:025	22.8	51	22.9
2021-07-27 22:48:59:025	22.8	51	22.9
2021-07-27 22:49:00:024	22.8	51	22.9
2021-07-27 22:49:01:024	22.8	51	22.8
2021-07-27 22:49:02:024	22.8	51.1	22.9
2021-07-27 22:49:03:024	22.8	51.1	22.9
2021-07-27 22:49:04:024	22.8	51.2	22.8
2021-07-27 22:49:05:023	22.8	51.2	22.8
2021-07-27 22:49:06:023	22.8	51.5	22.8
2021-07-27 22:49:07:023	22.8	51.5	22.8
