Wind Monitoring Program V1.0
회 사 명 : (주)레도
작성일자 : 2021년 03월 16일 14:32:57


날짜/시간 	 배터리전압 	 태양광전압
2021-03-16 14:34:19:679	0	0
2021-03-16 14:34:20:650	0	0
2021-03-16 14:34:20:666	0	0
2021-03-16 14:34:21:652	0	0
2021-03-16 14:34:21:668	0	0
2021-03-16 14:34:22:654	0	0
2021-03-16 14:34:22:668	0	0
2021-03-16 14:34:23:654	0	0
2021-03-16 14:34:23:670	0	0
2021-03-16 14:34:24:658	0	0
2021-03-16 14:34:24:673	0	0
2021-03-16 14:34:25:657	0	0
2021-03-16 14:34:25:676	0	0
2021-03-16 14:34:26:659	0	0
2021-03-16 14:34:26:674	0	0
2021-03-16 14:34:27:661	0	0
2021-03-16 14:34:27:676	0	0
2021-03-16 14:34:28:664	0	0
2021-03-16 14:34:28:679	0	0
2021-03-16 14:34:29:663	0	0
2021-03-16 14:34:29:680	0	0
2021-03-16 14:34:30:667	0	0
2021-03-16 14:34:30:682	0	0
2021-03-16 14:34:31:666	0	0
2021-03-16 14:34:31:681	0	0
2021-03-16 14:34:32:668	0	0
2021-03-16 14:34:32:683	0	0
2021-03-16 14:34:33:669	0	0
2021-03-16 14:34:33:684	0	0
2021-03-16 14:34:34:672	0	0
2021-03-16 14:34:34:686	0	0
2021-03-16 14:34:35:672	0	0
2021-03-16 14:34:35:687	0	0
2021-03-16 14:34:36:675	0	0
2021-03-16 14:34:36:688	0	0
2021-03-16 14:34:37:675	0	0
2021-03-16 14:34:37:689	0	0
2021-03-16 14:34:38:678	0	0
2021-03-16 14:34:38:691	0	0
2021-03-16 14:34:39:677	0	0
2021-03-16 14:34:39:692	0	0
2021-03-16 14:34:40:677	0	0
2021-03-16 14:34:40:694	0	0
2021-03-16 14:34:41:688	0	0
2021-03-16 14:34:41:699	0	0
2021-03-16 14:34:42:680	0	0
2021-03-16 14:34:42:696	0	0
2021-03-16 14:34:43:692	0	0
2021-03-16 14:34:43:696	0	0
2021-03-16 14:34:44:682	0	0
2021-03-16 14:34:44:699	0	0
2021-03-16 14:34:45:686	0	0
2021-03-16 14:34:45:700	0	0
2021-03-16 14:34:46:688	0	0
2021-03-16 14:34:46:701	0	0
2021-03-16 14:34:47:686	0	0
2021-03-16 14:34:47:702	0	0
2021-03-16 14:34:48:691	0	0
2021-03-16 14:34:48:704	0	0
2021-03-16 14:34:49:690	0	0
2021-03-16 14:34:49:706	0	0
2021-03-16 14:34:50:691	0	0
2021-03-16 14:34:50:706	0	0
2021-03-16 14:34:51:869	0	0
2021-03-16 14:34:52:695	0	0
2021-03-16 14:34:52:711	0	0
2021-03-16 14:34:53:697	0	0
2021-03-16 14:34:53:710	0	0
2021-03-16 14:34:54:696	0	0
2021-03-16 14:34:54:711	0	0
2021-03-16 14:34:55:698	0	0
2021-03-16 14:34:55:714	0	0
2021-03-16 14:34:56:701	0	0
2021-03-16 14:34:56:714	0	0
2021-03-16 14:34:57:702	0	0
2021-03-16 14:34:57:716	0	0
2021-03-16 14:34:58:702	0	0
2021-03-16 14:34:58:716	0	0
2021-03-16 14:34:59:704	0	0
2021-03-16 14:34:59:718	0	0
2021-03-16 14:35:00:706	0	0
2021-03-16 14:35:00:720	0	0
2021-03-16 14:35:01:708	0	0
2021-03-16 14:35:01:720	0	0
2021-03-16 14:35:02:709	0	0
2021-03-16 14:35:02:722	0	0
2021-03-16 14:35:03:708	0	0
2021-03-16 14:35:03:724	0	0
2021-03-16 14:35:04:711	0	0
2021-03-16 14:35:04:727	0	0
2021-03-16 14:35:05:713	0	0
2021-03-16 14:35:05:727	0	0
2021-03-16 14:35:06:713	0	0
2021-03-16 14:35:06:728	0	0
2021-03-16 14:35:07:716	0	0
2021-03-16 14:35:07:729	0	0
2021-03-16 14:35:08:718	0	0
2021-03-16 14:35:08:732	0	0
2021-03-16 14:35:09:719	0	0
2021-03-16 14:35:09:734	0	0
2021-03-16 14:35:10:720	0	0
2021-03-16 14:35:10:740	0	0
2021-03-16 14:35:11:721	0	0
2021-03-16 14:35:11:735	0	0
2021-03-16 14:35:12:738	0	0
2021-03-16 14:35:12:744	0	0
2021-03-16 14:35:13:724	0	0
2021-03-16 14:35:13:739	0	0
2021-03-16 14:35:14:725	0	0
2021-03-16 14:35:14:741	0	0
2021-03-16 14:35:15:729	0	0
2021-03-16 14:35:15:743	0	0
2021-03-16 14:35:16:729	0	0
2021-03-16 14:35:16:743	0	0
2021-03-16 14:35:17:730	0	0
2021-03-16 14:35:17:745	0	0
2021-03-16 14:35:18:733	0	0
2021-03-16 14:35:18:747	0	0
2021-03-16 14:35:19:734	0	0
2021-03-16 14:35:19:748	0	0
2021-03-16 14:35:20:737	0	0
2021-03-16 14:35:20:751	0	0
2021-03-16 14:35:21:737	0	0
2021-03-16 14:35:21:751	0	0
2021-03-16 14:35:22:738	0	0
2021-03-16 14:35:22:753	0	0
2021-03-16 14:35:23:740	0	0
2021-03-16 14:35:23:758	0	0
2021-03-16 14:35:24:741	0	0
2021-03-16 14:35:24:756	0	0
2021-03-16 14:35:25:743	0	0
2021-03-16 14:35:25:758	0	0
2021-03-16 14:35:26:745	0	0
2021-03-16 14:35:26:759	0	0
2021-03-16 14:35:27:747	0	0
2021-03-16 14:35:27:761	0	0
2021-03-16 14:35:28:749	0	0
2021-03-16 14:35:28:765	0	0
2021-03-16 14:35:29:749	0	0
2021-03-16 14:35:29:766	0	0
2021-03-16 14:35:30:753	0	0
2021-03-16 14:35:30:770	0	0
2021-03-16 14:35:31:752	0	0
2021-03-16 14:35:31:767	0	0
2021-03-16 14:35:32:755	0	0
2021-03-16 14:35:32:770	0	0
2021-03-16 14:35:33:755	0	0
2021-03-16 14:35:33:770	0	0
2021-03-16 14:35:34:757	0	0
2021-03-16 14:35:34:772	0	0
2021-03-16 14:35:35:760	0	0
2021-03-16 14:35:35:773	0	0
2021-03-16 14:35:36:760	0	0
2021-03-16 14:35:36:776	0	0
2021-03-16 14:35:37:763	0	0
2021-03-16 14:35:37:777	0	0
2021-03-16 14:35:38:763	0	0
2021-03-16 14:35:38:780	0	0
2021-03-16 14:35:39:765	0	0
2021-03-16 14:35:39:780	0	0
2021-03-16 14:35:40:766	0	0
2021-03-16 14:35:40:783	0	0
2021-03-16 14:35:41:767	0	0
2021-03-16 14:35:41:782	0	0
2021-03-16 14:35:42:769	0	0
2021-03-16 14:35:42:785	0	0
2021-03-16 14:35:43:771	0	0
2021-03-16 14:35:43:785	0	0
2021-03-16 14:35:44:774	0	0
2021-03-16 14:35:44:787	0	0
2021-03-16 14:35:45:773	0	0
2021-03-16 14:35:45:791	0	0
2021-03-16 14:35:46:777	0	0
2021-03-16 14:35:46:790	0	0
2021-03-16 14:35:47:776	0	0
2021-03-16 14:35:47:791	0	0
2021-03-16 14:35:48:779	0	0
2021-03-16 14:35:48:793	0	0
2021-03-16 14:35:49:779	0	0
2021-03-16 14:35:49:794	0	0
2021-03-16 14:35:50:782	0	0
2021-03-16 14:35:50:797	0	0
2021-03-16 14:35:51:783	0	0
2021-03-16 14:35:51:799	0	0
2021-03-16 14:35:52:783	0	0
2021-03-16 14:35:52:799	0	0
2021-03-16 14:35:53:787	0	0
2021-03-16 14:35:53:801	0	0
2021-03-16 14:35:54:788	0	0
2021-03-16 14:35:54:803	0	0
2021-03-16 14:35:55:789	0	0
2021-03-16 14:35:55:803	0	0
2021-03-16 14:35:56:791	0	0
2021-03-16 14:35:56:805	0	0
2021-03-16 14:35:57:792	0	0
2021-03-16 14:35:57:806	0	0
2021-03-16 14:35:58:792	0	0
2021-03-16 14:35:58:807	0	0
2021-03-16 14:35:59:794	0	0
2021-03-16 14:35:59:809	0	0
2021-03-16 14:36:00:795	0	0
2021-03-16 14:36:00:812	0	0
2021-03-16 14:36:01:797	0	0
2021-03-16 14:36:01:813	0	0
2021-03-16 14:36:02:798	0	0
2021-03-16 14:36:02:814	0	0
2021-03-16 14:36:03:801	0	0
2021-03-16 14:36:03:816	0	0
2021-03-16 14:36:04:803	0	0
2021-03-16 14:36:04:817	0	0
2021-03-16 14:36:05:804	0	0
2021-03-16 14:36:05:819	0	0
2021-03-16 14:36:06:804	0	0
2021-03-16 14:36:06:822	0	0
2021-03-16 14:36:07:806	0	0
2021-03-16 14:36:07:824	0	0
2021-03-16 14:36:08:807	0	0
2021-03-16 14:36:08:823	0	0
2021-03-16 14:36:09:811	0	0
2021-03-16 14:36:09:828	0	0
2021-03-16 14:36:10:811	0	0
2021-03-16 14:36:10:826	0	0
2021-03-16 14:36:11:812	0	0
2021-03-16 14:36:11:827	0	0
2021-03-16 14:36:12:815	0	0
2021-03-16 14:36:12:830	0	0
2021-03-16 14:36:13:816	0	0
2021-03-16 14:36:13:831	0	0
2021-03-16 14:36:14:817	0	0
2021-03-16 14:36:14:832	0	0
2021-03-16 14:36:15:818	0	0
2021-03-16 14:36:15:833	0	0
2021-03-16 14:36:16:821	0	0
2021-03-16 14:36:16:835	0	0
2021-03-16 14:36:17:822	0	0
2021-03-16 14:36:17:838	0	0
2021-03-16 14:36:18:822	0	0
2021-03-16 14:36:18:838	0	0
2021-03-16 14:36:19:824	0	0
2021-03-16 14:36:19:840	0	0
2021-03-16 14:36:20:828	0	0
2021-03-16 14:36:20:844	0	0
2021-03-16 14:36:21:827	0	0
2021-03-16 14:36:21:844	0	0
2021-03-16 14:36:22:829	0	0
2021-03-16 14:36:22:845	0	0
2021-03-16 14:36:23:832	0	0
2021-03-16 14:36:23:846	0	0
2021-03-16 14:36:24:833	0	0
2021-03-16 14:36:24:850	0	0
2021-03-16 14:36:25:836	0	0
2021-03-16 14:36:25:849	0	0
2021-03-16 14:36:26:836	0	0
2021-03-16 14:36:26:850	0	0
2021-03-16 14:36:27:838	0	0
2021-03-16 14:36:27:852	0	0
2021-03-16 14:36:28:840	0	0
2021-03-16 14:36:28:853	0	0
2021-03-16 14:36:29:843	0	0
2021-03-16 14:36:29:855	0	0
2021-03-16 14:36:30:841	0	0
2021-03-16 14:36:30:857	0	0
2021-03-16 14:36:31:844	0	0
2021-03-16 14:36:31:859	0	0
2021-03-16 14:36:32:845	0	0
2021-03-16 14:36:32:860	0	0
2021-03-16 14:36:33:848	0	0
2021-03-16 14:36:33:862	0	0
2021-03-16 14:36:34:847	0	0
2021-03-16 14:36:34:863	0	0
2021-03-16 14:36:35:849	0	0
2021-03-16 14:36:35:867	0	0
2021-03-16 14:36:36:853	0	0
2021-03-16 14:36:36:866	0	0
2021-03-16 14:36:37:853	0	0
2021-03-16 14:36:37:868	0	0
2021-03-16 14:36:38:854	0	0
2021-03-16 14:36:38:871	0	0
2021-03-16 14:36:39:858	0	0
2021-03-16 14:36:39:873	0	0
2021-03-16 14:36:40:858	0	0
2021-03-16 14:36:40:872	0	0
2021-03-16 14:36:41:860	0	0
2021-03-16 14:36:41:875	0	0
2021-03-16 14:36:42:861	0	0
2021-03-16 14:36:42:876	0	0
2021-03-16 14:36:43:862	0	0
2021-03-16 14:36:43:878	0	0
2021-03-16 14:36:44:865	0	0
2021-03-16 14:36:44:879	0	0
2021-03-16 14:36:45:866	0	0
2021-03-16 14:36:45:882	0	0
2021-03-16 14:36:46:866	0	0
2021-03-16 14:36:46:881	0	0
2021-03-16 14:36:47:868	0	0
2021-03-16 14:36:47:884	0	0
2021-03-16 14:36:48:870	0	0
2021-03-16 14:36:48:885	0	0
2021-03-16 14:36:49:872	0	0
2021-03-16 14:36:49:887	0	0
2021-03-16 14:36:50:873	0	0
2021-03-16 14:36:50:891	0	0
2021-03-16 14:36:51:875	0	0
2021-03-16 14:36:51:890	0	0
2021-03-16 14:36:52:880	0	0
2021-03-16 14:36:52:891	0	0
2021-03-16 14:36:53:881	0	0
2021-03-16 14:36:53:893	0	0
2021-03-16 14:36:54:879	0	0
2021-03-16 14:36:54:898	0	0
2021-03-16 14:36:55:882	0	0
2021-03-16 14:36:55:897	0	0
2021-03-16 14:36:56:883	0	0
2021-03-16 14:36:56:903	0	0
2021-03-16 14:36:57:884	0	0
2021-03-16 14:36:57:900	0	0
2021-03-16 14:36:58:886	0	0
2021-03-16 14:36:58:901	0	0
2021-03-16 14:36:59:890	0	0
2021-03-16 14:36:59:903	0	0
2021-03-16 14:37:00:891	0	0
2021-03-16 14:37:00:905	0	0
2021-03-16 14:37:01:891	0	0
2021-03-16 14:37:01:908	0	0
2021-03-16 14:37:02:893	0	0
2021-03-16 14:37:02:907	0	0
2021-03-16 14:37:03:895	0	0
2021-03-16 14:37:03:909	0	0
2021-03-16 14:37:04:895	0	0
2021-03-16 14:37:04:911	0	0
2021-03-16 14:37:05:897	0	0
2021-03-16 14:37:05:913	0	0
2021-03-16 14:37:06:898	0	0
2021-03-16 14:37:06:913	0	0
2021-03-16 14:37:07:900	0	0
2021-03-16 14:37:07:916	0	0
2021-03-16 14:37:08:901	0	0
2021-03-16 14:37:08:918	0	0
2021-03-16 14:37:09:903	0	0
2021-03-16 14:37:09:919	0	0
2021-03-16 14:37:10:907	0	0
2021-03-16 14:37:10:920	0	0
2021-03-16 14:37:11:907	0	0
2021-03-16 14:37:11:923	0	0
2021-03-16 14:37:32:690	0	0
2021-03-16 14:37:32:700	0	0
2021-03-16 14:37:32:717	0	0
2021-03-16 14:37:32:735	0	0
2021-03-16 14:37:33:245	0	0
2021-03-16 14:37:33:261	0	0
2021-03-16 14:37:33:341	0	0
2021-03-16 14:37:33:357	0	0
2021-03-16 14:37:34:332	0	0
2021-03-16 14:37:34:350	0	0
2021-03-16 14:37:35:332	0	0
2021-03-16 14:37:35:347	0	0
2021-03-16 14:37:36:332	0	0
2021-03-16 14:37:36:348	0	0
2021-03-16 14:37:37:334	0	0
2021-03-16 14:37:37:354	0	0
2021-03-16 14:37:38:336	0	0
2021-03-16 14:37:38:350	0	0
2021-03-16 14:37:39:339	0	0
2021-03-16 14:37:39:352	0	0
2021-03-16 14:37:40:338	0	0
2021-03-16 14:37:40:355	0	0
2021-03-16 14:37:41:341	0	0
2021-03-16 14:37:41:355	0	0
2021-03-16 14:37:42:343	0	0
2021-03-16 14:37:42:357	0	0
2021-03-16 14:37:43:344	0	0
2021-03-16 14:37:43:358	0	0
2021-03-16 14:37:44:344	0	0
2021-03-16 14:37:44:359	0	0
2021-03-16 14:37:45:347	0	0
2021-03-16 14:37:45:361	0	0
2021-03-16 14:37:46:347	0	0
2021-03-16 14:37:46:364	0	0
2021-03-16 14:37:47:351	0	0
2021-03-16 14:37:47:365	0	0
2021-03-16 14:37:48:538	0	0
2021-03-16 14:37:49:414	0	0
2021-03-16 14:37:50:415	0	0
2021-03-16 14:37:51:356	0	0
2021-03-16 14:37:51:369	0	0
2021-03-16 14:37:52:358	0	0
2021-03-16 14:37:52:372	0	0
2021-03-16 14:37:53:360	0	0
2021-03-16 14:37:53:374	0	0
2021-03-16 14:37:54:359	0	0
2021-03-16 14:37:54:374	0	0
2021-03-16 14:37:55:361	0	0
2021-03-16 14:37:55:377	0	0
2021-03-16 14:37:56:366	0	0
2021-03-16 14:37:56:377	0	0
2021-03-16 14:37:57:365	0	0
2021-03-16 14:37:57:379	0	0
2021-03-16 14:37:58:367	0	0
2021-03-16 14:37:58:381	0	0
2021-03-16 14:37:59:653	0	0
2021-03-16 14:38:00:369	0	0
2021-03-16 14:38:00:384	0	0
2021-03-16 14:38:01:371	0	0
2021-03-16 14:38:01:386	0	0
2021-03-16 14:38:02:373	0	0
2021-03-16 14:38:02:386	0	0
2021-03-16 14:38:03:372	0	0
2021-03-16 14:38:03:389	0	0
2021-03-16 14:38:04:375	0	0
2021-03-16 14:38:04:390	0	0
2021-03-16 14:38:05:375	0	0
2021-03-16 14:38:05:392	0	0
2021-03-16 14:38:06:378	0	0
2021-03-16 14:38:06:392	0	0
2021-03-16 14:38:07:378	0	0
2021-03-16 14:38:07:395	0	0
2021-03-16 14:38:08:380	0	0
2021-03-16 14:38:08:395	0	0
2021-03-16 14:38:09:382	0	0
2021-03-16 14:38:09:397	0	0
2021-03-16 14:38:10:385	0	0
2021-03-16 14:38:10:399	0	0
2021-03-16 14:38:11:386	0	0
2021-03-16 14:38:11:401	0	0
2021-03-16 14:38:12:388	0	0
2021-03-16 14:38:12:401	0	0
2021-03-16 14:38:13:388	0	0
2021-03-16 14:38:13:403	0	0
2021-03-16 14:38:14:391	0	0
2021-03-16 14:38:14:405	0	0
2021-03-16 14:38:15:392	0	0
2021-03-16 14:38:15:405	0	0
2021-03-16 14:38:16:392	0	0
2021-03-16 14:38:16:409	0	0
2021-03-16 14:38:17:393	0	0
2021-03-16 14:38:17:408	0	0
2021-03-16 14:38:18:394	0	0
2021-03-16 14:38:18:410	0	0
2021-03-16 14:38:19:395	0	0
2021-03-16 14:38:19:412	0	0
2021-03-16 14:38:20:397	0	0
2021-03-16 14:38:20:415	0	0
2021-03-16 14:38:21:398	0	0
2021-03-16 14:38:21:415	0	0
2021-03-16 14:38:22:400	0	0
2021-03-16 14:38:22:416	0	0
2021-03-16 14:38:23:404	0	0
2021-03-16 14:38:23:418	0	0
2021-03-16 14:38:24:405	0	0
2021-03-16 14:38:24:419	0	0
2021-03-16 14:39:01:489	0	0
2021-03-16 14:39:01:505	0	0
2021-03-16 14:39:11:951	0	0
2021-03-16 14:39:11:966	0	0
2021-03-16 14:39:18:631	0	0
2021-03-16 14:39:18:645	0	0
2021-03-16 14:39:33:287	0	0
2021-03-16 14:39:33:301	0	0
2021-03-16 14:39:33:527	0	0
2021-03-16 14:39:33:541	0	0
2021-03-16 14:39:33:709	0	0
2021-03-16 14:39:33:725	0	0
2021-03-16 14:39:33:927	0	0
2021-03-16 14:39:33:942	0	0
2021-03-16 14:39:34:182	0	0
2021-03-16 14:39:34:199	0	0
2021-03-16 14:39:34:567	0	0
2021-03-16 14:39:34:582	0	0
2021-03-16 14:39:34:856	0	0
2021-03-16 14:39:34:869	0	0
2021-03-16 14:39:43:103	0	0
2021-03-16 14:39:43:120	0	0
2021-03-16 14:48:08:931	0	0
2021-03-16 14:48:08:942	0	0
2021-03-16 14:48:09:932	0	0
2021-03-16 14:48:09:943	0	0
2021-03-16 14:48:10:929	0	0
2021-03-16 14:48:10:946	0	0
2021-03-16 14:48:11:933	0	0
2021-03-16 14:48:11:946	0	0
2021-03-16 14:48:12:932	0	0
2021-03-16 14:48:12:949	0	0
2021-03-16 14:48:13:934	0	0
2021-03-16 14:48:13:950	0	0
2021-03-16 14:48:15:093	0	0
2021-03-16 14:48:16:017	0	0
2021-03-16 14:48:17:054	0	0
2021-03-16 14:48:17:940	0	0
2021-03-16 14:48:17:956	0	0
2021-03-16 14:48:18:942	0	0
2021-03-16 14:48:18:957	0	0
2021-03-16 14:48:19:945	0	0
2021-03-16 14:48:19:961	0	0
2021-03-16 14:48:20:946	0	0
2021-03-16 14:48:20:961	0	0
2021-03-16 14:48:21:947	0	0
2021-03-16 14:48:21:962	0	0
2021-03-16 14:48:22:950	0	0
2021-03-16 14:48:22:963	0	0
2021-03-16 14:48:23:951	0	0
2021-03-16 14:48:23:965	0	0
2021-03-16 14:48:24:953	0	0
2021-03-16 14:48:24:966	0	0
2021-03-16 14:48:25:952	0	0
2021-03-16 14:48:25:968	0	0
2021-03-16 14:48:26:955	0	0
2021-03-16 14:48:26:970	0	0
2021-03-16 14:48:27:957	0	0
2021-03-16 14:48:27:972	0	0
2021-03-16 14:48:28:958	0	0
2021-03-16 14:48:28:972	0	0
2021-03-16 14:48:29:958	0	0
2021-03-16 14:48:29:977	0	0
2021-03-16 14:48:30:961	0	0
2021-03-16 14:48:30:974	0	0
2021-03-16 14:48:31:961	0	0
2021-03-16 14:48:31:976	0	0
2021-03-16 14:48:32:963	0	0
2021-03-16 14:48:32:978	0	0
2021-03-16 14:48:33:966	0	0
2021-03-16 14:48:33:979	0	0
2021-03-16 14:48:34:966	0	0
2021-03-16 14:48:34:980	0	0
2021-03-16 14:48:35:968	0	0
2021-03-16 14:48:35:984	0	0
2021-03-16 14:48:36:969	0	0
2021-03-16 14:48:36:983	0	0
2021-03-16 14:48:37:969	0	0
2021-03-16 14:48:37:985	0	0
2021-03-16 14:48:38:970	0	0
2021-03-16 14:48:38:986	0	0
2021-03-16 14:48:39:972	0	0
2021-03-16 14:48:39:990	0	0
2021-03-16 14:48:40:973	0	0
2021-03-16 14:48:40:989	0	0
2021-03-16 14:48:41:974	0	0
2021-03-16 14:48:41:995	0	0
2021-03-16 14:48:42:977	0	0
2021-03-16 14:48:42:991	0	0
2021-03-16 14:48:43:980	0	0
2021-03-16 14:48:43:993	0	0
2021-03-16 14:48:44:980	0	0
2021-03-16 14:48:44:994	0	0
2021-03-16 14:48:45:981	0	0
2021-03-16 14:48:45:996	0	0
2021-03-16 14:48:46:982	0	0
2021-03-16 14:48:46:999	0	0
2021-03-16 14:48:47:984	0	0
2021-03-16 14:48:48:000	0	0
2021-03-16 14:48:48:984	0	0
2021-03-16 14:48:49:001	0	0
2021-03-16 14:48:49:988	0	0
2021-03-16 14:48:50:001	0	0
2021-03-16 14:48:50:989	0	0
2021-03-16 14:48:51:004	0	0
2021-03-16 14:48:51:989	0	0
2021-03-16 14:48:52:005	0	0
2021-03-16 14:48:52:991	0	0
2021-03-16 14:48:53:008	0	0
2021-03-16 14:48:53:992	0	0
2021-03-16 14:48:54:007	0	0
2021-03-16 14:48:54:993	0	0
2021-03-16 14:48:55:009	0	0
2021-03-16 14:48:55:997	0	0
2021-03-16 14:48:56:011	0	0
