Road Temp Monitoring Program V1.0
회 사 명 : (주)레도
작성일자 : 2021년 04월 13일 11:07:53


날짜/시간 	 #1주변온도 	 #1물체온도 	 #2주변온도 	 #2물체온도 
2021-04-13 11:07:53:573	39.9	30	0	0
2021-04-13 11:07:54:503	39.9	30	0	0
2021-04-13 11:07:55:503	39.8	29.9	0	0
2021-04-13 11:07:56:519	39.9	29.9	0	0
2021-04-13 11:07:57:519	39.9	29.9	0	0
2021-04-13 11:07:58:518	39.9	30	0	0
2021-04-13 11:07:59:518	39.9	29.9	0	0
2021-04-13 11:08:00:534	39.9	29.9	0	0
2021-04-13 11:08:01:532	39.9	29.9	0	0
2021-04-13 11:08:02:547	39.9	29.9	0	0
2021-04-13 11:08:03:531	39.9	29.9	0	0
2021-04-13 11:08:04:547	39.9	29.9	0	0
2021-04-13 11:08:05:546	39.9	29.9	0	0
2021-04-13 11:08:06:562	39.9	29.9	0	0
2021-04-13 11:08:07:558	39.9	29.9	0	0
2021-04-13 11:08:08:579	39.9	29.9	0	0
2021-04-13 11:08:09:563	39.9	29.9	0	0
2021-04-13 11:08:10:578	39.9	29.9	0	0
2021-04-13 11:08:11:578	39.9	29.9	0	0
2021-04-13 11:08:12:578	40	29.9	0	0
2021-04-13 11:08:13:578	39.9	29.9	0	0
2021-04-13 11:08:14:593	39.9	29.9	0	0
2021-04-13 11:08:15:593	39.9	29.9	0	0
2021-04-13 11:08:16:588	39.9	29.9	0	0
2021-04-13 11:08:17:604	39.9	30	0	0
2021-04-13 11:08:18:604	39.9	30	0	0
2021-04-13 11:08:19:619	39.9	30	0	0
2021-04-13 11:08:21:619	39.8	30	0	0
2021-04-13 11:08:22:618	39.8	30	0	0
2021-04-13 11:08:23:634	39.8	29.9	0	0
2021-04-13 11:08:24:633	39.8	29.9	0	0
2021-04-13 11:08:25:633	39.8	29.9	0	0
2021-04-13 11:08:26:633	39.8	29.9	0	0
2021-04-13 11:08:27:648	39.8	29.9	0	0
2021-04-13 11:08:28:648	39.9	29.9	0	0
2021-04-13 11:08:29:648	39.9	29.9	0	0
2021-04-13 11:08:30:663	39.9	30	0	0
2021-04-13 11:08:31:663	39.9	30	0	0
2021-04-13 11:08:32:678	39.9	30	0	0
2021-04-13 11:08:34:678	39.9	30	0	0
2021-04-13 11:08:35:678	39.9	30	0	0
2021-04-13 11:08:36:693	39.9	30	0	0
2021-04-13 11:08:37:693	39.9	30	0	0
2021-04-13 11:08:38:693	39.9	30	0	0
2021-04-13 11:08:39:692	39.9	30	0	0
2021-04-13 11:08:40:708	39.9	29.9	0	0
2021-04-13 11:08:41:708	39.9	29.9	0	0
2021-04-13 11:08:42:707	39.9	29.9	0	0
2021-04-13 11:08:43:707	39.9	29.9	0	0
2021-04-13 11:08:44:722	39.9	29.9	0	0
2021-04-13 11:08:45:722	39.9	29.9	0	0
2021-04-13 11:08:47:722	39.8	29.9	0	0
2021-04-13 11:08:48:737	39.8	29.9	0	0
2021-04-13 11:08:49:737	39.8	29.9	0	0
2021-04-13 11:08:50:752	39.8	29.9	0	0
2021-04-13 11:08:51:736	39.8	29.9	0	0
2021-04-13 11:08:52:752	39.9	29.9	0	0
2021-04-13 11:08:53:752	39.8	29.9	0	0
2021-04-13 11:08:54:767	39.9	29.9	0	0
2021-04-13 11:08:55:751	39.9	29.9	0	0
2021-04-13 11:08:56:767	39.9	29.9	0	0
2021-04-13 11:08:57:766	39.9	29.9	0	0
2021-04-13 11:08:58:782	39.9	29.9	0	0
2021-04-13 11:08:59:781	39.9	28.9	0	0
2021-04-13 11:09:00:781	40.2	27.8	0	0
2021-04-13 11:09:01:797	40.2	26.6	0	0
2021-04-13 11:09:02:796	40.3	25.5	0	0
2021-04-13 11:09:03:812	40.3	24.4	0	0
2021-04-13 11:09:04:796	40.3	23.3	0	0
2021-04-13 11:09:05:811	40.3	22.2	0	0
2021-04-13 11:09:06:811	40.3	21.1	0	0
2021-04-13 11:09:07:826	40.3	21	0	0
2021-04-13 11:09:09:826	40	21	0	0
2021-04-13 11:09:10:826	39.7	21	0	0
2021-04-13 11:09:11:841	40	21	0	0
2021-04-13 11:09:12:841	40	20.9	0	0
2021-04-13 11:09:13:841	40	20.9	0	0
2021-04-13 11:09:14:840	40	21.3	0	0
2021-04-13 11:09:15:856	39.9	19.5	0	0
2021-04-13 11:09:16:855	39.9	19.6	0	0
2021-04-13 11:09:17:870	39.8	19.9	0	0
2021-04-13 11:09:18:854	39.8	20.5	0	0
2021-04-13 11:09:19:865	39.5	21.1	0	0
2021-04-13 11:09:20:882	39.4	21.5	0	0
2021-04-13 11:09:22:872	39.3	22	0	0
2021-04-13 11:09:23:887	39.2	24.3	0	0
2021-04-13 11:09:24:887	39.2	24.9	0	0
2021-04-13 11:09:25:902	39.2	25.1	0	0
2021-04-13 11:09:26:899	39.2	25.1	0	0
2021-04-13 11:09:27:892	39.4	25.1	0	0
2021-04-13 11:09:28:907	39.4	25.3	0	0
2021-04-13 11:09:29:923	39	25.5	0	0
