Road Temp Monitoring Program V1.0
회 사 명 : (주)레도
작성일자 : 2021년 07월 13일 18:08:20


날짜/시간 	 #1대기온도 	 #1대기습도 	 #1물체온도
2021-07-13 18:08:20:349	24.1	66.3	76.8
2021-07-13 18:08:21:180	24.1	66.2	24.7
2021-07-13 18:08:22:189	24.1	66.2	24.7
2021-07-13 18:08:23:196	24.1	66.2	24.7
2021-07-13 18:08:24:188	24.1	66.2	24.7
2021-07-13 18:08:25:181	24.1	66.2	24.7
2021-07-13 18:08:26:187	24.1	75.9	27.5
2021-07-13 18:08:27:178	24	66.2	27.5
2021-07-13 18:08:29:186	0.2	3840	6297.7
2021-07-13 18:08:30:180	1.4	76.8	3967.8
2021-07-13 18:08:31:185	24.1	66.2	20.6
2021-07-13 18:08:32:189	20.6	66.2	20.6
2021-07-13 18:08:33:183	24	66.2	20.6
2021-07-13 18:08:34:191	24	66.2	24.7
2021-07-13 18:08:35:183	24	66.2	24.7
2021-07-13 18:08:36:191	24.1	66.2	0
2021-07-13 18:08:37:202	24.1	66.2	24.7
2021-07-13 18:08:38:192	24.1	66.2	24.7
2021-07-13 18:08:39:199	24.1	66.2	24.7
2021-07-13 18:08:40:206	24.1	66.2	24.7
2021-07-13 18:08:41:218	24.1	66.2	9.6
2021-07-13 18:08:43:215	6169.8	3840	6323.3
2021-07-13 18:08:48:226	24	66.2	24.8
2021-07-13 18:08:49:212	24.1	66.2	24.8
2021-07-13 18:08:50:220	24.1	66.2	24.7
2021-07-13 18:08:53:229	24.1	66.2	24.7
2021-07-13 18:08:54:205	24.1	66.2	24.7
2021-07-13 18:08:55:211	24.1	75.9	27.5
2021-07-13 18:08:56:218	24.1	2467.5	27.5
2021-07-13 18:08:57:212	24.1	66.2	24.8
2021-07-13 18:08:59:210	24.1	24.8	28
2021-07-13 18:09:00:218	24.1	66.2	6248.8
2021-07-13 18:09:01:227	24.1	66.2	24.8
2021-07-13 18:09:02:220	24.1	66.2	24.8
2021-07-13 18:09:03:212	24.1	66.2	24.8
2021-07-13 18:09:04:221	614.7	4.4	6296.8
2021-07-13 18:09:05:226	24	66.2	24.7
2021-07-13 18:09:06:217	24	66.2	24.8
2021-07-13 18:09:07:209	24.1	66.2	24.8
2021-07-13 18:09:09:209	24.8	28	76.8
2021-07-13 18:14:29:274	24	68.7	0
2021-07-13 18:15:10:561	24.1	68.7	24.8
2021-07-13 18:15:10:992	24.1	68.7	24.8
2021-07-13 18:15:30:447	24.1	68.1	24.8
2021-07-13 18:15:30:980	24.1	4215.3	24.8
2021-07-13 18:15:31:791	24.1	68.1	24.9
2021-07-13 18:15:33:540	24.1	28.5	76.8
2021-07-13 18:15:35:120	24.1	68	24.9
2021-07-13 18:15:36:122	24.1	68	24.9
2021-07-13 18:15:36:582	22.5	4624.8	24.9
2021-07-13 18:15:37:572	24.1	742.7	16.1
2021-07-13 18:15:38:594	24.1	67.3	1936.1
2021-07-13 18:20:56:479	24	68.6	24.7
2021-07-13 19:09:23:139	24	67.6	24.7
2021-07-13 19:52:40:334	23.9	67.3	24.8
