Road Temp Monitoring Program V1.0
회 사 명 : (주)레도
작성일자 : 2021년 07월 28일 00:00:00


날짜/시간 	 #1대기온도 	 #1대기습도 	 #1물체온도
2021-07-28 00:00:00:157	23	53.2	23.1
2021-07-28 00:00:01:078	23	53.2	23
2021-07-28 00:00:02:094	23	53.2	23.1
2021-07-28 00:00:03:109	23	53.2	23.1
2021-07-28 00:00:04:109	23	53.2	23
2021-07-28 00:00:05:124	23	53.2	23
2021-07-28 00:00:06:124	23	53.2	23
2021-07-28 00:00:07:140	23	53.2	23
2021-07-28 00:00:08:139	23	53.2	23.1
2021-07-28 00:00:20:199	24.3	50.8	6354.7
2021-07-28 00:00:21:199	24.3	50.8	6391.8
2021-07-28 00:00:22:214	24.3	50.7	6429
2021-07-28 00:00:23:214	24.3	50.7	6466.1
2021-07-28 00:00:24:214	24.2	50.7	6503.2
2021-07-28 00:00:25:276	24.2	50.7	6540.3
2021-07-28 00:00:26:213	24.2	50.7	23.8
2021-07-28 00:00:27:213	24.2	50.7	23.8
2021-07-28 00:00:28:213	24.2	50.7	23.9
2021-07-28 00:00:29:213	24.2	50.7	23.9
2021-07-28 00:00:30:212	24.3	50.7	24
2021-07-28 00:00:31:212	24.3	50.7	24
2021-07-28 00:00:32:212	24.2	50.7	24
2021-07-28 00:00:33:243	24.2	50.7	24.1
2021-07-28 00:00:34:243	24.3	50.7	24.1
2021-07-28 00:00:35:258	24.3	50.7	24.1
2021-07-28 00:00:36:274	24.2	50.7	24.1
2021-07-28 00:17:23:828	23.5	68	23.5
2021-07-28 00:17:24:813	23.5	68	23.5
2021-07-28 00:17:25:828	23.5	68	23.5
2021-07-28 00:17:26:843	23.5	68	23.5
2021-07-28 00:17:27:843	23.5	67.9	23.5
2021-07-28 00:17:28:843	23.5	67.9	23.4
2021-07-28 00:17:29:843	23.5	67.9	23.4
2021-07-28 00:17:30:842	23.5	67.9	23.4
2021-07-28 00:17:31:842	23.5	67.8	23.5
2021-07-28 00:17:32:842	23.5	67.8	23.4
2021-07-28 00:17:33:842	23.4	67.7	23.5
2021-07-28 00:17:34:841	23.4	67.7	23.4
2021-07-28 00:17:35:841	23.5	67.7	23.5
2021-07-28 00:17:36:841	23.5	67.7	23.5
2021-07-28 00:17:37:841	23.5	67.7	23.5
2021-07-28 00:17:38:856	23.5	67.7	23.5
2021-07-28 00:17:39:887	23.5	67.6	23.5
2021-07-28 00:17:40:871	23.5	67.6	23.4
2021-07-28 00:17:41:902	23.5	67.6	23.4
2021-07-28 00:17:42:887	23.5	67.6	23.4
2021-07-28 00:17:43:902	23.5	67.5	23.4
2021-07-28 00:17:44:886	23.5	67.5	23.3
2021-07-28 00:17:45:901	23.5	67.5	23.2
2021-07-28 00:17:46:917	23.5	67.5	23.2
2021-07-28 00:17:47:932	23.4	67.5	23.2
2021-07-28 00:17:48:948	23.4	67.5	23.2
2021-07-28 00:17:49:947	23.5	67.5	23.2
2021-07-28 00:17:50:963	23.5	67.5	23.2
2021-07-28 00:17:51:962	23.5	67.4	23.2
2021-07-28 00:17:52:978	23.5	67.4	23.2
2021-07-28 00:17:53:993	23.5	67.4	23.2
2021-07-28 11:41:20:580	24.3	58.2	24.9
2021-07-28 11:41:21:549	24.3	58.2	24.9
2021-07-28 11:41:22:564	24.3	58.2	24.9
2021-07-28 11:41:23:580	24.3	58.3	24.9
2021-07-28 11:41:24:564	24.3	58.3	24.9
2021-07-28 11:41:25:580	24.3	58.3	24.9
2021-07-28 11:41:26:564	24.3	58.3	24.9
2021-07-28 11:41:27:580	24.3	58.3	24.9
2021-07-28 11:41:28:564	24.3	58.3	24.9
2021-07-28 11:41:29:579	24.3	58.3	24.9
2021-07-28 11:41:30:564	24.3	58.3	24.9
2021-07-28 11:41:31:563	24.2	58.2	24.9
2021-07-28 11:41:32:563	24.2	58.2	24.9
2021-07-28 11:41:33:563	24.3	58.2	24.9
2021-07-28 11:41:34:562	24.3	58.2	24.9
2021-07-28 11:41:35:578	24.3	58.2	24.9
2021-07-28 11:41:36:562	24.3	58.2	24.9
2021-07-28 11:41:37:577	24.3	58.2	24.9
2021-07-28 11:41:38:562	24.3	58.2	24.8
2021-07-28 11:41:39:561	24.3	58.2	24.8
2021-07-28 11:41:40:561	24.3	58.2	24.9
2021-07-28 11:41:41:577	24.2	58.2	24.9
2021-07-28 11:41:42:561	24.2	58.2	24.9
2021-07-28 11:41:43:576	24.3	58.3	24.9
2021-07-28 11:41:44:561	24.3	58.3	24.9
2021-07-28 11:41:45:560	24.3	58.3	24.9
2021-07-28 11:41:46:560	24.3	58.3	24.9
2021-07-28 11:41:47:576	24.3	58.3	24.9
2021-07-28 11:41:48:560	24.3	58.3	24.9
2021-07-28 11:41:49:575	24.3	58.3	24.9
2021-07-28 11:41:50:559	24.3	58.3	24.9
2021-07-28 11:41:51:559	24.3	58.3	24.9
2021-07-28 11:41:52:559	24.3	58.3	25
2021-07-28 11:41:53:559	24.3	58.3	25
2021-07-28 11:41:54:934	24.3	58.3	24.9
2021-07-28 11:41:55:574	24.3	58.3	24.9
2021-07-28 11:41:56:558	24.3	58.3	24.9
2021-07-28 11:41:57:558	24.3	58.2	24.9
2021-07-28 11:41:58:558	24.3	58.2	24.9
2021-07-28 11:41:59:557	24.3	58.2	24.9
2021-07-28 11:42:00:557	24.3	58.2	24.9
2021-07-28 11:42:01:557	24.3	58.2	24.9
2021-07-28 11:42:02:557	24.3	58.2	25
2021-07-28 11:42:03:556	24.3	58.2	25
