Road Temp Monitoring Program V1.0
회 사 명 : (주)레도
작성일자 : 2021년 04월 01일 18:26:18


날짜/시간 	 #1주변온도 	 #1물체온도 	 #2주변온도 	 #2물체온도 
2021-04-01 18:26:18:895	27.4	28.1	27.5	23.4
2021-04-01 18:26:19:895	27.4	28.1	27.5	23.5
2021-04-01 18:26:20:892	27.4	28.1	27.5	23.5
2021-04-01 18:26:21:897	27.4	28.1	27.5	23.5
2021-04-01 18:26:22:912	27.4	28.1	27.5	23.5
2021-04-01 18:26:23:897	27.4	28.1	27.5	23.5
2021-04-01 18:26:24:913	27.4	28.1	27.5	23.5
2021-04-01 18:26:25:897	27.4	28.1	27.5	23.6
2021-04-01 18:26:26:896	27.4	28.1	27.5	23.6
2021-04-01 18:26:27:916	27.4	28.1	27.5	23.6
2021-04-01 18:26:28:911	27.4	28.1	27.5	23.6
2021-04-01 18:26:29:910	27.4	28.1	27.5	23.6
2021-04-01 18:26:30:923	27.4	28.1	27.4	23.4
2021-04-01 18:26:31:907	27.4	28.1	27.4	23.5
2021-04-01 18:26:32:927	27.4	28.1	27.4	23.5
2021-04-01 18:26:33:935	27.4	28.1	27.4	23.5
2021-04-01 18:26:34:919	27.4	28.1	27.4	23.5
2021-04-01 18:26:35:919	27.4	28.1	27.4	24
2021-04-01 18:26:36:911	27.4	28.1	26.9	24
2021-04-01 18:26:37:936	27.4	28.1	26.9	24.4
2021-04-01 18:26:38:942	27.4	28.1	26.9	24.6
2021-04-01 18:26:39:934	27.4	28.1	26.9	24.6
2021-04-01 18:26:40:928	27.4	28.1	26.5	24.7
2021-04-01 18:26:41:948	27.4	28.1	26.5	24.7
2021-04-01 18:26:42:928	27.4	28.1	26.5	24.7
2021-04-01 18:26:43:943	27.4	28.1	26.5	24.2
2021-04-01 18:26:45:939	27.4	28.1	26.9	24.3
2021-04-01 18:26:46:948	27.4	28.1	26.5	24.3
2021-04-01 18:26:47:948	27.4	28.1	26.5	24.3
2021-04-01 18:26:48:958	27.4	28.1	26.9	24.7
2021-04-01 18:26:49:959	27.4	28.1	26.9	24.7
2021-04-01 18:26:50:955	27.4	28.1	26.9	24.8
2021-04-01 18:26:51:960	27.4	28.1	26.9	24.8
2021-04-01 18:26:52:964	27.4	28.1	26.9	24.4
2021-04-01 18:26:53:951	27.4	28.1	26.9	24.4
2021-04-01 18:26:54:966	27.4	28.1	27.3	24.8
2021-04-01 18:26:56:966	27.4	28.1	27.3	24.4
2021-04-01 18:26:57:975	27.4	28.1	27.3	24.4
2021-04-01 18:26:58:956	27.4	28.1	27.3	24.8
