Road Temp Monitoring Program V1.0
회 사 명 : (주)레도
작성일자 : 2021년 04월 15일 16:16:24


날짜/시간 	 #1주변온도 	 #1물체온도 	 #2주변온도 	 #2물체온도 
2021-04-15 16:18:23:570	32.5	20.8	0	0
2021-04-15 16:18:24:585	32.5	20.8	0	0
2021-04-15 16:18:25:585	32.5	20.8	0	0
2021-04-15 16:18:26:585	32.3	20.8	0	0
2021-04-15 16:18:27:584	32.4	20.8	0	0
2021-04-15 16:18:28:600	32.2	20.8	0	0
2021-04-15 16:18:29:584	32.2	21.1	0	0
2021-04-15 16:18:30:599	32.2	21.1	0	0
2021-04-15 16:18:31:599	32.2	21.1	0	0
2021-04-15 16:18:32:614	32.2	21.1	0	0
2021-04-15 16:18:33:599	32.3	21.1	0	0
2021-04-15 16:18:34:614	32.3	21	0	0
2021-04-15 16:18:35:624	32.3	21.1	0	0
2021-04-15 16:18:36:615	32.5	21.3	0	0
2021-04-15 16:18:37:623	32.5	21.1	0	0
2021-04-15 16:18:38:631	32.8	21.2	0	0
2021-04-15 16:18:39:639	32.8	21.3	0	0
2021-04-15 16:18:40:631	32.9	21.3	0	0
2021-04-15 16:18:41:639	32.9	21.4	0	0
2021-04-15 16:18:42:646	33.1	21.5	0	0
2021-04-15 16:18:43:638	33.2	21.7	0	0
2021-04-15 16:18:44:647	33.2	21.5	0	0
2021-04-15 16:18:45:653	33.2	21.5	0	0
2021-04-15 16:18:47:653	33.3	21.4	0	0
2021-04-15 16:18:48:661	33.3	21.7	0	0
2021-04-15 16:18:49:663	33.3	21.6	0	0
2021-04-15 16:18:50:647	33.3	21.5	0	0
2021-04-15 16:18:51:663	33.4	21.3	0	0
2021-04-15 16:18:52:663	33.4	21.2	0	0
2021-04-15 16:18:53:662	33.4	21.1	0	0
2021-04-15 16:18:54:662	33.4	21.1	0	0
2021-04-15 16:18:55:678	33.5	21.4	0	0
2021-04-15 16:18:56:677	33.5	21	0	0
2021-04-15 16:18:57:677	33.5	21	0	0
2021-04-15 16:18:58:677	33.5	21.4	0	0
2021-04-15 16:18:59:692	33.5	21.3	0	0
2021-04-15 16:19:00:676	33.5	21.3	0	0
2021-04-15 16:19:01:692	33.6	21.3	0	0
2021-04-15 16:19:02:692	33.6	21.3	0	0
2021-04-15 16:19:03:691	33.6	2.1	0	0
2021-04-15 16:19:04:691	33.6	21	0	0
2021-04-15 16:19:05:706	33.6	21	0	0
2021-04-15 16:19:06:722	33.7	20.6	0	0
2021-04-15 16:19:07:706	33.7	21	0	0
2021-04-15 16:19:08:706	33.7	21	0	0
2021-04-15 16:19:09:721	33.7	21	0	0
2021-04-15 16:19:10:705	33.4	21	0	0
2021-04-15 16:19:11:721	33.4	21	0	0
2021-04-15 16:19:12:720	33.4	21	0	0
2021-04-15 16:19:13:736	33.1	21	0	0
2021-04-15 16:19:14:720	33.1	21	0	0
2021-04-15 16:19:15:735	33.1	20.7	0	0
2021-04-15 16:19:16:751	33.1	20.7	0	0
2021-04-15 16:19:17:735	33.1	20.7	0	0
2021-04-15 16:19:18:750	33.5	20.7	0	0
2021-04-15 16:19:19:750	33.5	20.7	0	0
2021-04-15 16:19:20:765	33.5	21.1	0	0
2021-04-15 16:19:21:750	33.9	21.1	0	0
2021-04-15 16:19:22:765	33.9	21.2	0	0
2021-04-15 16:19:23:765	34	21.2	0	0
2021-04-15 16:19:24:764	34	21.3	0	0
2021-04-15 16:19:25:764	34	21.4	0	0
2021-04-15 16:19:26:780	34	21.5	0	0
2021-04-15 16:19:27:779	34	21.2	0	0
2021-04-15 16:19:28:776	34	20.6	0	0
2021-04-15 16:19:29:785	34.1	20.3	0	0
2021-04-15 16:19:30:784	34.3	20.2	0	0
2021-04-15 16:19:31:784	34.3	19.9	0	0
2021-04-15 16:19:32:784	34.3	19.8	0	0
2021-04-15 16:19:33:799	34.5	19.7	0	0
2021-04-15 16:19:34:799	34.6	19.7	0	0
2021-04-15 16:19:35:803	34.8	19.9	0	0
2021-04-15 16:19:36:809	34.8	20.1	0	0
2021-04-15 16:19:37:809	34.8	20.4	0	0
2021-04-15 16:19:38:808	34.6	20.4	0	0
2021-04-15 16:19:39:808	34.6	20.4	0	0
2021-04-15 16:19:40:819	34.7	20.4	0	0
2021-04-15 16:19:41:830	34.4	20.4	0	0
2021-04-15 16:19:42:814	34.5	20.4	0	0
2021-04-15 16:19:43:829	34.3	20.4	0	0
2021-04-15 16:19:44:829	34.3	20.4	0	0
2021-04-15 16:19:45:828	34.5	20.4	0	0
2021-04-15 16:19:46:832	34.5	20.4	0	0
2021-04-15 16:19:47:847	34.5	20.7	0	0
2021-04-15 16:19:48:847	34.5	20.5	0	0
2021-04-15 16:19:49:847	34.6	20.5	0	0
2021-04-15 16:19:50:847	34.6	20.5	0	0
2021-04-15 16:19:51:862	34.6	20.5	0	0
2021-04-15 16:19:52:846	34.6	20.5	0	0
2021-04-15 16:19:53:861	34.4	20.5	0	0
2021-04-15 16:19:54:861	34.4	20.5	0	0
2021-04-15 16:19:55:877	34.4	20.5	0	0
2021-04-15 16:19:56:861	34.4	20.8	0	0
2021-04-15 16:19:57:876	34.4	20.8	0	0
2021-04-15 16:19:58:876	34.5	20.8	0	0
2021-04-15 16:19:59:891	34.7	20.8	0	0
2021-04-15 16:20:00:876	34.7	20.8	0	0
2021-04-15 16:20:01:890	34.7	20.8	0	0
2021-04-15 16:20:02:890	34.7	20.6	0	0
2021-04-15 16:20:03:890	34.7	20.6	0	0
2021-04-15 16:20:04:890	34.8	20.5	0	0
2021-04-15 16:20:05:905	34.8	20.5	0	0
2021-04-15 16:20:06:905	34.8	20.3	0	0
2021-04-15 16:20:07:905	34.6	20.3	0	0
2021-04-15 16:20:08:905	34.6	20.3	0	0
2021-04-15 16:20:09:920	34.6	20.1	0	0
2021-04-15 16:20:10:904	34.6	2	0	0
2021-04-15 16:20:11:920	34.7	20.3	0	0
2021-04-15 16:20:12:919	34.7	20.2	0	0
2021-04-15 16:20:13:935	34.8	20.1	0	0
2021-04-15 16:20:14:919	34.9	20.2	0	0
2021-04-15 16:20:15:934	34.9	20.1	0	0
2021-04-15 16:20:16:934	34.9	20	0	0
2021-04-15 16:20:18:934	34.9	20	0	0
2021-04-15 16:20:19:949	34.9	20	0	0
2021-04-15 16:20:20:949	34.9	20.1	0	0
2021-04-15 16:20:21:948	34.8	20	0	0
2021-04-15 16:20:22:948	34.8	20.1	0	0
2021-04-15 16:20:23:964	34.9	20.1	0	0
2021-04-15 16:20:24:964	35	20.3	0	0
2021-04-15 16:20:25:966	35	20.3	0	0
2021-04-15 16:20:26:973	35	20.4	0	0
2021-04-15 16:20:27:981	35	20.4	0	0
2021-04-15 16:20:28:974	35	20.4	0	0
2021-04-15 16:20:29:974	35	20.6	0	0
2021-04-15 16:20:30:988	35	20.5	0	0
2021-04-15 16:20:31:995	34.9	20.3	0	0
2021-04-15 16:20:32:988	34.9	20.3	0	0
2021-04-15 16:20:33:982	34.9	20.4	0	0
2021-04-15 16:20:35:006	35.1	20.4	0	0
2021-04-15 16:20:36:992	35.2	20.4	0	0
2021-04-15 16:20:38:010	35.3	20.4	0	0
2021-04-15 16:20:39:010	35.4	20.5	0	0
2021-04-15 16:20:40:012	35.5	20.6	0	0
2021-04-15 16:20:41:009	35.5	20.6	0	0
2021-04-15 16:20:42:025	35.5	20.6	0	0
2021-04-15 16:20:43:036	35.4	20.6	0	0
2021-04-15 16:20:44:021	35.4	20.6	0	0
