Road Temp Monitoring Program V1.0
회 사 명 : (주)레도
작성일자 : 2021년 04월 12일 16:53:16


날짜/시간 	 #1주변온도 	 #1물체온도 	 #2주변온도 	 #2물체온도 
2021-04-12 16:53:16:304	25	24.6	0	0
2021-04-12 16:53:17:288	25	24.6	0	0
2021-04-12 16:53:18:288	25	24.6	0	0
2021-04-12 16:53:20:287	24.9	24.3	0	0
2021-04-12 16:53:21:287	25	24.3	0	0
2021-04-12 16:53:22:287	25	24.4	0	0
2021-04-12 16:53:23:287	24.9	24.4	0	0
2021-04-12 17:36:38:542	24.8	24.5	0	0
2021-04-12 17:36:39:519	24.8	24.5	0	0
2021-04-12 17:36:40:519	24.8	24.4	0	0
2021-04-12 17:36:41:528	24.7	24.4	0	0
2021-04-12 17:36:42:498	24.7	24.4	63.6	23.4
2021-04-12 17:36:42:513	24.7	24.4	63.6	23.4
2021-04-12 17:36:43:498	24.7	24.4	23.6	23.4
2021-04-12 17:36:43:529	24.7	24.4	23.6	23.4
2021-04-12 17:36:44:497	24.7	24.4	23.6	23.4
2021-04-12 17:36:44:513	24.7	24.5	23.6	23.4
2021-04-12 17:36:45:497	24.7	24.5	23.6	23.4
2021-04-12 17:36:45:513	24.8	24.6	23.6	23.4
2021-04-12 17:36:46:481	24.8	24.6	23.6	23.4
2021-04-12 17:36:46:513	24.8	24.6	23.6	23.4
2021-04-12 17:36:47:497	24.8	24.6	23.6	23.4
2021-04-12 17:36:47:513	24.8	24.6	23.6	23.4
2021-04-12 17:36:48:481	24.8	24.6	23.7	23.4
2021-04-12 17:36:48:512	24.8	24.6	23.7	23.4
2021-04-12 17:36:49:481	24.8	24.6	23.7	23.4
2021-04-12 17:36:49:512	24.9	24.6	23.7	23.4
2021-04-12 17:36:50:480	24.9	24.6	23.7	23.4
2021-04-12 17:36:51:511	24.9	24.6	23.7	23.4
2021-04-12 17:37:24:038	24.9	24.5	23.7	23.4
2021-04-12 17:38:24:365	25	24.2	0	0
2021-04-12 17:38:25:356	25	24.2	0	0
2021-04-12 17:38:26:246	25	24.2	26.6	23.4
2021-04-12 17:38:26:356	25	24.2	26.6	23.4
2021-04-12 17:38:27:231	25	24.2	26.6	23.4
2021-04-12 17:38:27:356	24.9	24.2	26.6	23.4
2021-04-12 17:38:28:246	24.9	24.2	26.6	23.4
2021-04-12 17:38:28:355	24.9	24.2	26.6	23.4
2021-04-12 17:38:29:229	24.9	24.2	26.1	23.4
2021-04-12 17:38:29:354	24.9	24.2	26.1	23.4
2021-04-12 17:38:30:224	24.9	24.2	25.6	22.9
2021-04-12 17:38:30:349	24.9	24.2	25.6	22.9
2021-04-12 17:38:31:224	24.9	24.2	26.1	22.9
2021-04-12 17:38:31:349	24.9	24.2	26.1	22.9
2021-04-12 17:38:32:224	24.9	24.2	26.1	22.9
2021-04-12 17:38:32:349	24.9	24.2	26.1	22.9
2021-04-12 17:38:33:208	24.9	24.2	25.6	22.9
2021-04-12 17:38:33:349	24.9	24.2	25.6	22.9
2021-04-12 17:38:34:223	24.9	24.2	25.2	22.4
2021-04-12 17:38:34:348	25	24.3	25.2	22.4
2021-04-12 17:38:35:208	25	24.3	25.2	22.5
2021-04-12 17:38:35:333	25	24.3	25.2	22.5
2021-04-12 17:38:36:208	25	24.3	25.2	22
2021-04-12 17:38:36:348	25	24.3	25.2	22
2021-04-12 17:38:37:207	25	24.3	25.2	22
2021-04-12 17:38:37:332	25	24.3	25.2	22
2021-04-12 17:38:38:207	25	24.3	25.2	22.5
2021-04-12 17:38:38:348	25	24.3	25.2	22.5
2021-04-12 17:38:39:207	25	24.3	24.7	22.5
2021-04-12 17:38:39:332	25	24.3	24.7	22.5
2021-04-12 17:38:40:206	25	24.3	24.7	22.5
2021-04-12 17:38:40:331	24.9	24.3	24.7	22.5
2021-04-12 17:38:41:206	24.9	24.3	24.7	22
2021-04-12 17:38:41:331	24.9	24.3	24.7	22
2021-04-12 17:38:42:206	24.9	24.3	24.7	22.5
2021-04-12 17:38:42:331	24.9	24.2	24.7	22.5
2021-04-12 17:38:43:190	24.9	24.2	24.7	22.5
2021-04-12 17:38:43:331	25	24.3	24.7	22.5
2021-04-12 17:38:44:190	25	24.3	24.7	23
2021-04-12 17:38:44:331	25	24.3	24.7	23
2021-04-12 17:38:45:190	25	24.3	24.7	23
2021-04-12 17:38:46:330	24.9	24.5	24.7	23
2021-04-12 17:38:47:315	24.9	24.5	24.7	23
2021-04-12 17:38:48:189	24.9	24.5	25.2	23
2021-04-12 17:38:48:330	24.9	24.5	25.2	23
2021-04-12 17:38:49:189	24.9	24.5	25.2	23
2021-04-12 17:38:49:314	24.9	24.5	25.2	23
2021-04-12 17:38:50:189	24.9	24.5	25.2	23
2021-04-12 17:38:50:329	24.9	24.5	25.2	23
2021-04-12 17:38:51:173	24.9	24.5	25.2	23
2021-04-12 17:38:51:314	24.9	24.5	25.2	23
2021-04-12 17:38:52:188	24.9	24.5	25.7	23
2021-04-12 17:38:52:313	24.9	24.5	25.7	23
2021-04-12 17:38:53:173	24.9	24.5	25.7	23
2021-04-12 17:38:53:313	25	24.5	25.7	23
2021-04-12 17:38:54:172	25	24.5	25.7	23
2021-04-12 17:38:54:313	25	24.5	25.7	23
2021-04-12 17:38:57:437	24.9	24.5	25.7	23
2021-04-12 17:39:23:273	25	24.4	0	0
2021-04-12 17:39:24:257	25	24.5	0	0
2021-04-12 17:39:25:272	24.9	24.4	0	0
2021-04-12 17:39:26:257	24.9	24.4	0	0
2021-04-12 17:39:27:256	25.1	24.4	0	0
2021-04-12 17:39:28:256	24.9	24.4	0	0
2021-04-12 17:39:30:256	24.9	24.5	0	0
2021-04-12 17:39:31:255	24.8	24.5	0	0
2021-04-12 17:39:32:255	24.7	24.4	0	0
2021-04-12 17:39:33:253	24.8	24.5	0	0
2021-04-12 17:39:34:253	24.7	24.5	0	0
2021-04-12 17:39:35:253	24.6	24.5	0	0
2021-04-12 17:39:36:237	24.7	24.6	0	0
2021-04-12 17:39:37:252	24.7	24.5	0	0
2021-04-12 17:39:38:237	24.7	24.5	0	0
2021-04-12 17:39:39:252	24.9	24.5	0	0
2021-04-12 17:39:40:236	25	24.6	0	0
2021-04-12 17:39:41:236	25	24.6	0	0
2021-04-12 17:39:42:236	25.1	24.6	0	0
2021-04-12 17:39:43:236	25.2	24.6	0	0
2021-04-12 17:39:44:235	25.2	24.6	0	0
2021-04-12 17:39:45:235	25.2	24.6	0	0
2021-04-12 17:39:46:219	25.2	2.4	0	0
2021-04-12 17:39:47:235	25.2	24.6	0	0
2021-04-12 17:39:48:219	25.2	24.5	0	0
2021-04-12 17:39:49:234	25.2	24.4	0	0
2021-04-12 17:39:50:218	25.1	24.4	0	0
2021-04-12 17:39:52:218	25.1	24.4	0	0
2021-04-12 17:39:53:218	25	24.4	0	0
2021-04-12 17:39:54:217	25	24.4	0	0
2021-04-12 17:39:55:217	25	24.5	0	0
2021-04-12 17:39:56:217	25	24.5	0	0
2021-04-12 17:39:57:217	25	24.5	0	0
2021-04-12 17:39:58:201	25	24.5	0	0
2021-04-12 17:39:59:216	25	24.5	0	0
2021-04-12 17:40:00:200	24.8	24.4	0	0
2021-04-12 17:40:01:216	25	24.5	0	0
2021-04-12 17:40:02:215	25	24.5	0	0
2021-04-12 17:40:03:200	25	24.4	0	0
2021-04-12 17:40:04:199	25	24.4	0	0
2021-04-12 17:40:05:199	25	24.4	0	0
2021-04-12 17:40:06:199	25.1	24.4	0	0
2021-04-12 17:40:07:199	24.9	24.4	0	0
2021-04-12 17:40:09:199	25.1	24.3	0	0
2021-04-12 17:40:10:194	25.1	24.3	0	0
2021-04-12 17:40:11:188	25.1	24.3	0	0
2021-04-12 17:40:12:184	24.9	24.3	0	0
2021-04-12 17:40:13:199	24.8	24.3	0	0
2021-04-12 17:40:14:183	24.8	24.3	0	0
2021-04-12 17:40:15:183	25	24.3	0	0
2021-04-12 17:40:16:186	25	24.3	0	0
2021-04-12 17:40:17:170	25	24.3	0	0
2021-04-12 17:40:18:186	25	24.3	0	0
2021-04-12 17:40:19:170	25	24.3	0	0
2021-04-12 17:40:20:170	25.1	24.3	0	0
2021-04-12 17:40:21:170	25.2	24.3	0	0
2021-04-12 17:40:22:169	25.2	24.4	0	0
2021-04-12 17:40:23:169	25.2	24.4	0	0
2021-04-12 17:40:24:169	25.2	24.5	0	0
2021-04-12 17:40:26:169	25.1	24.5	0	0
2021-04-12 17:40:27:153	25.1	24.5	0	0
2021-04-12 17:40:28:168	25	24.5	0	0
2021-04-12 17:40:29:152	25	24.5	0	0
2021-04-12 17:40:30:168	24.9	24.4	0	0
2021-04-12 17:40:31:152	24.9	24.4	0	0
2021-04-12 17:40:32:152	24.9	24.3	0	0
2021-04-12 17:40:33:151	25	24.3	0	0
2021-04-12 17:40:34:151	25	24.4	0	0
2021-04-12 17:40:35:151	25	24.4	0	0
2021-04-12 17:40:36:151	25.1	24.4	0	0
2021-04-12 17:40:37:135	25.1	24.4	0	0
2021-04-12 17:40:38:147	25.1	24.4	0	0
2021-04-12 17:40:39:146	25.1	24.5	0	0
2021-04-12 17:40:40:146	25.1	24.5	0	0
2021-04-12 17:40:41:146	25.1	24.5	0	0
2021-04-12 17:40:42:146	25.1	24.5	0	0
2021-04-12 17:40:43:145	25.1	24.5	0	0
2021-04-12 17:40:44:239	25.1	24.5	0	0
2021-04-12 17:40:45:145	25.1	24.5	0	0
2021-04-12 17:40:46:132	25.2	24.6	0	0
2021-04-12 17:40:47:132	25.1	24.5	0	0
2021-04-12 17:40:48:133	25.1	24.5	0	0
2021-04-12 17:40:50:444	25	24.5	0	0
2021-04-12 17:41:00:137	25	24.5	0	0
2021-04-12 17:41:00:881	25	24.5	25.1	24.1
2021-04-12 17:41:01:116	25.1	24.5	25.1	24.1
2021-04-12 17:41:01:881	25.1	24.5	24.9	24.1
2021-04-12 17:41:02:100	25.1	24.4	24.9	24.1
2021-04-12 17:41:03:115	25.2	24.4	24.9	24.1
2021-04-12 17:41:08:489	25.2	24.4	24.9	24.1
2021-04-12 17:41:45:052	0	0	24.9	24.3
2021-04-12 17:41:46:036	0	0	24.9	24.3
2021-04-12 17:41:47:051	0	0	25	24.3
2021-04-12 17:41:48:035	0	0	25	24.3
2021-04-12 17:41:49:051	0	0	25	24.3
2021-04-12 17:41:50:035	0	0	25.1	24.3
2021-04-12 17:41:51:034	0	0	25.2	24.3
2021-04-12 17:41:52:034	0	0	25.2	24.3
2021-04-12 17:41:53:034	0	0	25.2	24.3
2021-04-12 17:41:54:034	0	0	25.2	24.3
2021-04-12 17:41:55:030	0	0	25.2	24.3
2021-04-12 17:41:57:024	0	0	25.2	24.4
2021-04-12 17:41:58:024	0	0	25.2	24.5
2021-04-12 17:41:59:024	0	0	25.2	24.5
2021-04-12 17:42:00:026	0	0	25.1	24.5
2021-04-12 17:42:01:028	0	0	25.1	24.7
2021-04-12 17:42:02:028	0	0	25.1	24.6
2021-04-12 17:42:03:012	0	0	25.1	24.7
2021-04-12 17:42:04:012	0	0	25.1	24.7
2021-04-12 17:42:05:010	0	0	25.1	24.5
2021-04-12 17:42:06:025	0	0	25.1	24.5
2021-04-12 17:42:07:008	0	0	25.1	24.5
2021-04-12 17:42:09:008	0	0	25.2	24.4
2021-04-12 17:42:10:008	0	0	25.2	24.4
2021-04-12 17:42:11:008	0	0	25.2	24.4
